minutes,both,half
0,     0,   0
1,     0,   0
2,     0,   0
3,     0,   5
4,     0,  28
5,     0,  80
6,     2, 183
7,     6, 339
8,    16, 520
9,    30, 718
10,    40, 973
11,    63,1246
12,    89,1495
13,   133,1723
14,   195,1952
15,   263,2182
16,   337,2455
17,   416,2705
18,   541,2885
19,   648,3066
20,   773,3224
21,   888,3394
22,  1013,3520
23,  1160,3653
24,  1298,3741
25,  1435,3864
26,  1594,3944
27,  1738,4005
28,  1902,4047
29,  2057,4061
30,  2222,4102
31,  2370,4146
32,  2529,4156
33,  2696,4147
34,  2853,4161
35,  3015,4154
36,  3146,4163
37,  3302,4155
38,  3461,4138
39,  3618,4121
40,  3764,4096
41,  3919,4074
42,  4060,4062
43,  4204,4065
44,  4362,4029
45,  4492,4006
46,  4635,3983
47,  4763,3974
48,  4893,3947
49,  5035,3898
50,  5171,3848
51,  5309,3815
52,  5441,3763
53,  5559,3730
54,  5684,3698
55,  5797,3666
56,  5915,3623
57,  6037,3580
58,  6137,3558
59,  6251,3520
60,  6368,3469
61,  6466,3461
62,  6568,3435
63,  6668,3404
64,  6764,3382
65,  6860,3354
66,  6954,3314
67,  7026,3310
68,  7125,3272
69,  7229,3233
70,  7319,3192
71,  7411,3158
72,  7514,3120
73,  7601,3092
74,  7707,3042
75,  7791,3013
76,  7867,2999
77,  7968,2955
78,  8055,2917
79,  8147,2884
80,  8226,2866
81,  8291,2857
82,  8355,2854
83,  8429,2832
84,  8491,2840
85,  8560,2816
86,  8616,2808
87,  8703,2782
88,  8775,2758
89,  8839,2745
90,  8914,2735
91,  8976,2730
92,  9030,2722
93,  9093,2702
94,  9146,2695
95,  9217,2674
96,  9290,2661
97,  9345,2671
98,  9398,2664
99,  9439,2682
100,  9502,2677
101,  9551,2668
102,  9597,2674
103,  9645,2670
104,  9707,2655
105,  9753,2660
106,  9832,2634
107,  9883,2639
108,  9937,2620
109, 10003,2603
110, 10052,2599
111, 10101,2590
112, 10155,2575
113, 10198,2591
114, 10243,2596
115, 10293,2593
116, 10341,2605
117, 10391,2616
118, 10442,2615
119, 10493,2619
120, 10530,2637
121, 10573,2640
122, 10629,2624
123, 10682,2622
124, 10747,2594
125, 10790,2593
126, 10838,2590
127, 10880,2592
128, 10917,2597
129, 10958,2599
130, 11000,2611
131, 11052,2603
132, 11104,2605
133, 11150,2593
134, 11187,2593
135, 11222,2618
136, 11272,2608
137, 11311,2617
138, 11362,2622
139, 11410,2631
140, 11459,2632
141, 11500,2631
142, 11550,2632
143, 11593,2627
144, 11624,2639
145, 11660,2642
146, 11698,2643
147, 11743,2644
148, 11785,2657
149, 11839,2652
150, 11879,2663
151, 11915,2672
152, 11958,2680
153, 11995,2680
154, 12042,2690
155, 12078,2708
156, 12122,2716
157, 12172,2722
158, 12211,2732
159, 12252,2744
160, 12297,2748
161, 12334,2764
162, 12370,2781
163, 12411,2796
164, 12447,2814
165, 12486,2820
166, 12514,2840
167, 12556,2849
168, 12606,2852
169, 12641,2881
170, 12686,2884
171, 12723,2883
172, 12770,2899
173, 12820,2898
174, 12860,2911
175, 12905,2912
176, 12948,2928
177, 12999,2930
178, 13051,2922
179, 13093,2939
180, 13142,2939
181, 13190,2939
182, 13232,2941
183, 13273,2952
184, 13312,2977
185, 13355,2986
186, 13409,2998
187, 13445,2998
188, 13481,3012
189, 13523,3027
190, 13570,3023
191, 13605,3049
192, 13652,3051
193, 13688,3081
194, 13728,3096
195, 13757,3120
196, 13806,3114
197, 13859,3105
198, 13900,3116
199, 13941,3136
200, 13991,3136
201, 14043,3144
202, 14093,3142
203, 14137,3162
204, 14179,3170
205, 14218,3196
206, 14260,3199
206, 14260,3199
207, 14314,3197
208, 14353,3213
209, 14404,3209
210, 14445,3231
211, 14489,3262
212, 14529,3287
213, 14568,3305
214, 14604,3322
215, 14639,3338
216, 14689,3335
217, 14740,3336
218, 14777,3355
219, 14831,3366
220, 14870,3391
221, 14909,3403
222, 14944,3420
223, 14989,3439
224, 15050,3434
225, 15091,3459
226, 15136,3460
227, 15182,3469
228, 15229,3474
229, 15262,3498
230, 15314,3502
231, 15345,3528
232, 15386,3539
233, 15439,3545
234, 15480,3554
235, 15525,3573
236, 15578,3590
237, 15634,3598
238, 15696,3593
239, 15737,3612
240, 15785,3614
241, 15828,3625
242, 15873,3649
243, 15922,3656
244, 15961,3671
245, 16009,3677
246, 16060,3685
247, 16108,3705
248, 16160,3718
249, 16203,3730
250, 16255,3735
251, 16302,3751
252, 16354,3759
253, 16400,3776
254, 16444,3806
255, 16496,3815
256, 16536,3820
257, 16585,3831
258, 16637,3846
259, 16694,3860
260, 16736,3867
261, 16793,3874
262, 16841,3878
263, 16892,3890
264, 16945,3915
265, 16995,3925
266, 17029,3967
267, 17085,3986
268, 17144,3993
269, 17195,4010
270, 17244,4022
271, 17287,4038
272, 17333,4051
273, 17399,4064
274, 17441,4089
275, 17490,4110
276, 17532,4125
277, 17583,4135
278, 17648,4124
279, 17691,4125
280, 17743,4128
281, 17801,4140
282, 17866,4131
283, 17910,4152
284, 17960,4153
285, 18013,4175
286, 18072,4180
287, 18126,4192
288, 18163,4204
289, 18210,4210
290, 18262,4221
291, 18310,4232
292, 18367,4246
293, 18412,4253
294, 18469,4262
295, 18527,4266
296, 18575,4276
297, 18630,4283
298, 18679,4293
299, 18737,4299
300, 18781,4320
301, 18832,4322
302, 18885,4329
303, 18939,4333
304, 18980,4341
305, 19041,4349
306, 19090,4362
307, 19131,4383
308, 19198,4364
309, 19261,4359
310, 19304,4374
311, 19341,4379
312, 19409,4366
313, 19459,4364
314, 19506,4370
315, 19550,4398
316, 19605,4409
317, 19654,4417
318, 19707,4434
319, 19750,4440
320, 19810,4438
321, 19863,4442
322, 19910,4457
323, 19966,4470
324, 20016,4475
325, 20057,4496
326, 20099,4515
327, 20165,4502
328, 20216,4512
329, 20274,4512
330, 20345,4499
331, 20388,4514
332, 20423,4537
333, 20482,4546
334, 20544,4542
335, 20594,4545
336, 20644,4543
337, 20700,4563
338, 20755,4577
339, 20815,4563
340, 20865,4573
341, 20923,4568
342, 20979,4567
343, 21037,4571
344, 21089,4575
345, 21146,4571
346, 21191,4579
347, 21238,4605
348, 21294,4605
349, 21339,4613
350, 21384,4638
351, 21440,4642
352, 21490,4657
353, 21540,4661
354, 21604,4652
355, 21653,4655
356, 21709,4641
357, 21763,4638
358, 21812,4637
359, 21858,4641
360, 21901,4652
361, 21952,4659
362, 21999,4662
363, 22053,4663
364, 22100,4655
365, 22152,4663
366, 22202,4659
367, 22253,4664
368, 22302,4678
369, 22348,4683
370, 22387,4708
371, 22429,4721
372, 22468,4736
373, 22528,4734
374, 22583,4724
375, 22634,4740
376, 22680,4735
377, 22747,4716
378, 22808,4707
379, 22853,4720
380, 22899,4734
381, 22948,4735
