minutes,both,half
0,     0,   0
1,     0,   0
2,     0,   2
3,     0,  16
4,     0,  57
5,     4, 131
5,     4, 134
6,    11, 229
7,    19, 334
8,    35, 498
9,    64, 634
10,    95, 767
11,   133, 896
12,   176,1056
13,   237,1188
14,   294,1346
15,   364,1544
16,   438,1699
17,   518,1853
18,   616,2034
19,   719,2183
20,   830,2327
21,   947,2466
22,  1081,2569
23,  1210,2676
24,  1347,2774
25,  1485,2874
26,  1613,2997
27,  1733,3107
28,  1874,3211
29,  2012,3300
30,  2155,3396
31,  2308,3443
32,  2447,3526
33,  2594,3590
34,  2753,3641
35,  2895,3711
36,  3038,3748
37,  3188,3788
38,  3353,3803
39,  3498,3836
40,  3632,3893
41,  3795,3896
42,  3923,3939
43,  4053,3983
44,  4205,3990
45,  4368,3992
46,  4487,4028
47,  4629,4052
48,  4782,4063
49,  4930,4050
50,  5067,4042
51,  5221,4032
52,  5353,4049
53,  5481,4055
54,  5623,4039
55,  5763,4026
56,  5906,4022
57,  6044,4000
58,  6159,4009
59,  6276,4026
60,  6403,4040
61,  6537,4040
62,  6670,4035
63,  6795,4007
64,  6915,4003
65,  7039,3998
66,  7158,3991
67,  7271,3989
68,  7371,3984
69,  7479,3984
70,  7578,3997
71,  7708,3975
72,  7796,4006
73,  7917,3991
74,  8022,3978
75,  8140,3953
76,  8238,3959
77,  8333,3954
78,  8449,3949
79,  8563,3931
80,  8661,3935
81,  8758,3903
82,  8851,3886
83,  8958,3865
84,  9070,3843
85,  9165,3831
86,  9274,3806
87,  9362,3805
88,  9433,3825
89,  9512,3848
90,  9595,3833
91,  9690,3823
92,  9772,3830
93,  9859,3831
94,  9948,3842
95, 10049,3838
96, 10144,3823
97, 10238,3817
98, 10317,3833
99, 10392,3834
100, 10475,3828
101, 10550,3833
102, 10640,3805
103, 10721,3796
104, 10811,3780
105, 10886,3793
106, 10961,3818
107, 11041,3832
108, 11100,3844
109, 11177,3852
110, 11264,3848
111, 11330,3860
112, 11394,3853
113, 11471,3855
114, 11536,3859
115, 11603,3858
116, 11674,3867
117, 11750,3884
118, 11827,3883
119, 11892,3898
120, 11970,3891
121, 12033,3902
122, 12107,3912
123, 12177,3919
124, 12240,3941
125, 12314,3954
126, 12372,3981
127, 12439,3992
128, 12505,3992
129, 12564,3999
130, 12638,3996
131, 12693,4018
132, 12754,4025
133, 12801,4066
134, 12874,4070
135, 12940,4073
136, 13005,4099
137, 13079,4108
138, 13137,4128
139, 13196,4127
140, 13264,4127
141, 13322,4142
142, 13419,4123
143, 13490,4132
144, 13558,4131
145, 13633,4131
146, 13712,4124
147, 13778,4135
148, 13855,4140
149, 13914,4166
150, 13983,4165
151, 14041,4183
152, 14104,4201
153, 14167,4225
154, 14222,4234
155, 14271,4267
156, 14334,4271
157, 14398,4298
158, 14474,4296
159, 14534,4314
160, 14600,4327
161, 14674,4334
162, 14741,4341
163, 14796,4365
164, 14863,4375
165, 14923,4380
166, 14992,4391
167, 15055,4409
168, 15113,4422
169, 15185,4433
170, 15268,4405
171, 15339,4415
172, 15406,4416
173, 15466,4425
174, 15521,4470
175, 15588,4474
176, 15664,4469
177, 15732,4485
178, 15794,4507
179, 15854,4512
180, 15918,4536
181, 15975,4558
182, 16032,4591
183, 16089,4599
184, 16165,4604
185, 16240,4600
186, 16298,4615
187, 16355,4641
188, 16409,4663
189, 16467,4688
190, 16525,4707
191, 16592,4720
192, 16647,4751
193, 16708,4760
194, 16778,4772
195, 16827,4803
196, 16884,4827
197, 16941,4838
198, 17004,4858
199, 17062,4879
200, 17128,4883
201, 17197,4901
202, 17264,4908
203, 17315,4950
204, 17383,4947
205, 17441,4955
206, 17487,4995
207, 17569,4983
208, 17638,4985
209, 17686,5027
210, 17748,5041
211, 17806,5051
212, 17879,5044
213, 17941,5055
214, 17992,5075
215, 18061,5093
216, 18120,5100
217, 18181,5115
218, 18254,5117
219, 18315,5125
220, 18389,5121
221, 18434,5152
222, 18491,5184
223, 18558,5192
224, 18618,5210
225, 18679,5223
226, 18729,5255
227, 18795,5264
228, 18849,5268
229, 18904,5296
230, 18966,5321
231, 19031,5324
232, 19091,5348
233, 19160,5359
234, 19219,5380
235, 19287,5384
236, 19355,5398
237, 19422,5401
238, 19482,5431
239, 19536,5463
240, 19599,5483
241, 19647,5498
242, 19716,5514
243, 19767,5530
244, 19831,5545
245, 19884,5570
246, 19933,5593
247, 19989,5598
248, 20061,5580
249, 20126,5596
250, 20196,5606
251, 20250,5616
252, 20302,5631
253, 20373,5630
254, 20432,5657
255, 20495,5673
256, 20564,5695
257, 20629,5700
258, 20687,5721
259, 20740,5731
260, 20815,5739
261, 20877,5743
262, 20935,5755
263, 20995,5766
264, 21051,5799
265, 21110,5823
266, 21171,5831
267, 21234,5847
268, 21299,5870
269, 21353,5899
270, 21405,5917
271, 21465,5924
272, 21527,5947
273, 21586,5958
274, 21640,5981
275, 21708,5987
276, 21760,6004
277, 21827,5993
278, 21879,6014
279, 21936,6032
280, 22005,6051
281, 22073,6062
282, 22128,6086
283, 22192,6110
284, 22239,6143
285, 22294,6154
286, 22360,6163
287, 22415,6176
288, 22472,6186
289, 22531,6223
290, 22594,6240
291, 22660,6234
292, 22716,6234
293, 22768,6252
294, 22836,6253
295, 22893,6263
296, 22944,6278
297, 23013,6278
298, 23084,6277
299, 23155,6266
300, 23224,6265
301, 23278,6265
302, 23338,6282
303, 23387,6298
304, 23450,6291
305, 23509,6287
306, 23556,6306
307, 23628,6303
308, 23682,6324
309, 23741,6336
310, 23801,6358
311, 23850,6375
312, 23903,6392
313, 23964,6383
314, 24024,6388
315, 24087,6394
316, 24148,6400
317, 24211,6389
318, 24263,6401
319, 24322,6390
320, 24389,6388
321, 24450,6385
322, 24503,6386
323, 24565,6393
324, 24625,6401
325, 24697,6394
326, 24747,6414
327, 24813,6404
328, 24869,6406
329, 24925,6431
330, 24982,6432
330, 24982,6434
331, 25042,6427
332, 25100,6421
333, 25147,6424
334, 25195,6429
335, 25250,6433
336, 25299,6447
337, 25359,6447
338, 25414,6449
339, 25460,6474
340, 25515,6483
341, 25582,6487
342, 25640,6484
343, 25704,6484
344, 25757,6478
345, 25815,6471
346, 25865,6489
347, 25923,6495
348, 25966,6502
349, 26014,6510
350, 26064,6520
351, 26118,6526
352, 26178,6519
353, 26241,6512
354, 26297,6503
355, 26348,6499
356, 26396,6506
357, 26453,6504
358, 26513,6491
359, 26572,6501
360, 26624,6508
361, 26672,6516
362, 26731,6521
363, 26775,6552
364, 26822,6568
365, 26870,6573
366, 26921,6574
367, 26976,6577
368, 27028,6573
369, 27072,6573
370, 27117,6581
371, 27159,6592
372, 27210,6592
373, 27251,6598
374, 27306,6591
375, 27354,6617
376, 27388,6633
377, 27446,6638
378, 27502,6634
379, 27551,6633
380, 27591,6665
