minutes,both,half
0,     0,   0
1,     0,   0
2,     0,   0
3,     0,   0
4,     1,   7
5,     6,  15
6,    18,  30
7,    30,  45
8,    55,  61
9,    78,  85
10,   108, 121
11,   152, 126
12,   194, 152
13,   241, 183
14,   286, 205
15,   332, 247
16,   401, 260
17,   490, 236
18,   547, 268
19,   611, 297
20,   697, 316
21,   773, 344
22,   841, 383
23,   925, 409
24,  1013, 421
25,  1093, 460
26,  1184, 487
27,  1267, 495
28,  1350, 509
29,  1427, 536
30,  1501, 551
31,  1595, 549
32,  1656, 554
33,  1760, 548
34,  1830, 567
35,  1914, 560
36,  1989, 561
37,  2067, 567
38,  2137, 592
39,  2208, 621
40,  2285, 623
41,  2358, 639
42,  2429, 649
43,  2521, 639
44,  2590, 641
45,  2671, 634
46,  2731, 633
47,  2814, 609
48,  2881, 622
49,  2961, 621
50,  3040, 625
51,  3102, 636
52,  3168, 643
53,  3239, 645
54,  3312, 641
55,  3385, 636
56,  3451, 632
57,  3505, 639
58,  3563, 642
59,  3632, 635
60,  3692, 637
61,  3758, 643
62,  3812, 645
63,  3877, 633
64,  3949, 635
65,  4002, 642
66,  4068, 626
67,  4133, 633
68,  4189, 641
69,  4247, 644
70,  4317, 630
71,  4371, 626
72,  4431, 624
73,  4490, 615
74,  4547, 605
75,  4586, 611
76,  4642, 600
77,  4685, 609
78,  4740, 604
79,  4776, 626
80,  4818, 632
81,  4864, 632
82,  4913, 630
83,  4957, 648
84,  5012, 638
85,  5066, 639
86,  5110, 636
87,  5165, 629
88,  5214, 625
89,  5258, 637
90,  5295, 656
91,  5341, 664
92,  5394, 658
93,  5440, 661
94,  5487, 665
95,  5540, 655
96,  5584, 645
97,  5622, 650
98,  5678, 642
99,  5717, 653
100,  5759, 657
101,  5813, 650
102,  5854, 659
103,  5905, 656
104,  5949, 648
105,  5990, 648
106,  6024, 661
107,  6068, 660
108,  6117, 653
109,  6152, 651
109,  6152, 652
110,  6195, 638
111,  6241, 630
112,  6273, 633
113,  6305, 647
114,  6342, 653
115,  6378, 658
116,  6426, 644
117,  6468, 640
118,  6504, 650
119,  6535, 656
120,  6563, 657
121,  6601, 654
122,  6644, 653
123,  6685, 646
124,  6723, 643
125,  6757, 647
126,  6788, 643
127,  6819, 647
128,  6864, 631
129,  6904, 633
130,  6950, 626
131,  6981, 629
132,  7015, 627
133,  7052, 625
134,  7100, 623
135,  7129, 627
136,  7176, 629
137,  7213, 620
138,  7247, 627
139,  7275, 634
140,  7310, 630
141,  7341, 632
142,  7372, 631
142,  7372, 631
143,  7398, 639
144,  7434, 630
145,  7466, 631
146,  7497, 635
147,  7532, 633
147,  7533, 634
148,  7569, 636
149,  7600, 640
150,  7635, 625
151,  7661, 630
152,  7690, 639
153,  7713, 655
154,  7737, 675
155,  7767, 678
156,  7798, 677
157,  7839, 673
158,  7868, 669
159,  7907, 672
160,  7947, 687
161,  7976, 691
162,  8007, 692
163,  8050, 685
164,  8090, 683
165,  8110, 686
166,  8145, 692
167,  8177, 695
168,  8210, 696
169,  8250, 685
170,  8281, 682
171,  8308, 690
172,  8343, 698
173,  8370, 700
174,  8402, 691
175,  8430, 705
176,  8470, 693
177,  8507, 693
178,  8538, 700
179,  8573, 692
180,  8605, 693
181,  8641, 693
182,  8681, 686
183,  8715, 684
184,  8750, 684
185,  8773, 700
186,  8803, 707
186,  8803, 707
187,  8834, 715
188,  8876, 712
189,  8904, 719
190,  8942, 720
191,  8988, 705
192,  9021, 699
193,  9054, 704
194,  9090, 715
195,  9119, 719
196,  9161, 702
197,  9189, 711
198,  9221, 716
198,  9221, 717
199,  9252, 713
200,  9282, 715
201,  9316, 719
202,  9341, 721
203,  9374, 715
204,  9396, 724
205,  9427, 739
206,  9469, 734
207,  9493, 745
208,  9517, 760
209,  9548, 763
210,  9581, 755
211,  9614, 754
212,  9652, 742
213,  9683, 745
214,  9715, 742
215,  9748, 745
216,  9776, 752
217,  9806, 757
218,  9841, 750
219,  9877, 744
220,  9904, 751
221,  9933, 771
222,  9972, 775
223,  9994, 787
224, 10030, 778
225, 10061, 782
226, 10092, 789
227, 10118, 800
228, 10149, 796
229, 10181, 807
230, 10211, 811
231, 10240, 822
232, 10272, 826
233, 10308, 828
233, 10308, 828
234, 10336, 827
235, 10364, 828
236, 10402, 825
237, 10436, 825
238, 10469, 811
239, 10503, 815
240, 10537, 808
241, 10574, 804
242, 10603, 800
243, 10638, 803
244, 10671, 804
245, 10699, 800
246, 10726, 800
247, 10754, 807
248, 10789, 795
249, 10819, 796
250, 10855, 787
251, 10885, 788
252, 10915, 790
253, 10934, 801
254, 10968, 796
255, 11006, 790
256, 11039, 779
257, 11067, 774
258, 11103, 777
259, 11128, 788
260, 11147, 801
261, 11179, 807
262, 11211, 799
263, 11241, 803
264, 11273, 802
265, 11301, 809
266, 11335, 803
267, 11362, 819
268, 11385, 830
269, 11419, 826
270, 11452, 825
271, 11484, 818
272, 11507, 826
273, 11545, 817
274, 11573, 824
275, 11602, 832
276, 11628, 833
277, 11655, 843
278, 11677, 851
279, 11721, 834
280, 11758, 838
281, 11789, 840
282, 11816, 836
283, 11831, 838
284, 11868, 824
285, 11898, 834
286, 11919, 835
287, 11947, 838
288, 11978, 844
289, 12004, 846
290, 12025, 850
291, 12057, 843
292, 12086, 845
293, 12109, 858
293, 12109, 859
294, 12140, 856
295, 12169, 865
296, 12197, 871
297, 12219, 873
298, 12255, 876
299, 12298, 863
300, 12318, 873
301, 12342, 875
302, 12375, 877
303, 12394, 882
304, 12429, 871
305, 12457, 871
306, 12491, 864
307, 12517, 861
308, 12543, 864
309, 12577, 856
310, 12609, 854
311, 12642, 858
312, 12668, 866
313, 12695, 861
314, 12721, 860
315, 12749, 847
316, 12787, 841
317, 12809, 848
318, 12832, 850
319, 12858, 847
320, 12889, 841
321, 12921, 844
322, 12942, 848
323, 12960, 856
324, 12985, 852
325, 13015, 845
326, 13040, 843
327, 13056, 856
328, 13079, 860
329, 13108, 859
330, 13129, 868
331, 13157, 874
332, 13179, 875
333, 13209, 872
334, 13230, 887
335, 13252, 895
336, 13274, 899
337, 13300, 894
338, 13330, 895
339, 13366, 888
340, 13397, 889
341, 13427, 884
342, 13446, 898
343, 13468, 912
344, 13491, 925
345, 13516, 928
346, 13539, 924
347, 13568, 916
348, 13590, 917
349, 13617, 916
350, 13653, 910
351, 13683, 905
352, 13707, 913
353, 13736, 915
354, 13768, 910
355, 13798, 910
356, 13834, 897
357, 13865, 907
358, 13890, 911
359, 13913, 922
360, 13934, 934
361, 13959, 941
362, 13987, 943
363, 14013, 943
364, 14035, 955
365, 14058, 963
366, 14082, 952
367, 14111, 951
368, 14140, 940
369, 14165, 946
370, 14194, 938
371, 14219, 935
372, 14247, 930
373, 14267, 936
374, 14291, 935
375, 14325, 927
376, 14343, 938
