minutes,both,half
0,     0,   0
1,     0,   0
2,     0,   0
3,     0,   1
4,     0,   3
5,     0,  11
6,     1,  37
7,     1,  64
8,     3, 140
9,    15, 202
10,    25, 267
11,    37, 359
12,    50, 494
13,    69, 623
14,    97, 739
15,   135, 863
16,   167,1004
17,   209,1114
18,   267,1256
19,   333,1371
20,   400,1536
21,   490,1687
22,   588,1804
23,   667,1912
24,   738,2064
25,   833,2168
26,   950,2285
27,  1029,2382
28,  1110,2523
29,  1196,2640
30,  1290,2716
31,  1380,2831
32,  1496,2911
33,  1598,3000
34,  1696,3093
35,  1820,3128
36,  1926,3183
37,  2038,3249
38,  2138,3310
39,  2248,3374
40,  2357,3429
41,  2470,3473
42,  2562,3527
43,  2658,3555
44,  2756,3596
45,  2856,3634
46,  2965,3697
47,  3055,3755
48,  3147,3787
49,  3243,3794
50,  3334,3830
51,  3429,3881
52,  3506,3940
53,  3610,3961
54,  3706,3980
55,  3806,4001
56,  3899,4026
57,  3993,4022
58,  4094,4030
59,  4181,4037
60,  4262,4079
61,  4331,4137
62,  4440,4125
63,  4532,4134
64,  4620,4159
65,  4713,4169
66,  4800,4178
67,  4854,4229
68,  4942,4240
69,  5027,4252
70,  5108,4254
71,  5188,4268
72,  5293,4251
73,  5374,4260
74,  5452,4263
75,  5540,4243
76,  5640,4231
76,  5640,4234
77,  5706,4251
78,  5781,4248
79,  5857,4255
80,  5938,4255
81,  6010,4266
82,  6078,4291
83,  6139,4301
84,  6202,4317
85,  6271,4324
86,  6339,4335
87,  6405,4329
88,  6463,4344
89,  6545,4355
90,  6610,4357
91,  6678,4360
92,  6750,4355
94,  6894,4340
95,  6953,4351
96,  7016,4381
97,  7078,4377
98,  7139,4389
99,  7209,4396
100,  7263,4415
101,  7331,4421
102,  7382,4438
103,  7454,4442
104,  7513,4446
105,  7569,4480
106,  7621,4504
107,  7678,4507
108,  7730,4518
109,  7788,4522
110,  7834,4552
111,  7894,4556
112,  7949,4564
113,  8015,4563
114,  8065,4565
115,  8124,4575
116,  8187,4579
117,  8236,4597
118,  8305,4595
119,  8358,4607
120,  8414,4633
121,  8480,4620
122,  8537,4633
123,  8577,4640
124,  8625,4666
125,  8678,4674
126,  8733,4691
127,  8779,4696
128,  8835,4694
129,  8887,4692
130,  8944,4705
131,  8985,4725
132,  9049,4722
133,  9091,4738
134,  9139,4756
135,  9182,4765
136,  9244,4770
137,  9300,4772
138,  9348,4780
139,  9393,4790
140,  9436,4802
141,  9484,4818
142,  9529,4821
143,  9589,4838
144,  9626,4866
145,  9673,4886
146,  9728,4883
147,  9787,4890
148,  9841,4896
149,  9879,4917
150,  9926,4938
151,  9978,4940
152, 10024,4936
153, 10067,4941
154, 10113,4957
155, 10158,4967
156, 10205,4987
157, 10246,5014
158, 10290,5026
159, 10346,5031
160, 10387,5058
161, 10447,5060
162, 10495,5073
163, 10540,5080
164, 10588,5090
165, 10635,5100
166, 10684,5107
167, 10736,5114
168, 10773,5128
169, 10818,5141
170, 10867,5159
171, 10914,5170
172, 10962,5192
173, 11018,5208
174, 11056,5222
175, 11114,5235
176, 11163,5245
177, 11216,5266
178, 11257,5279
179, 11310,5274
180, 11364,5258
181, 11404,5279
182, 11433,5308
183, 11491,5307
184, 11533,5316
185, 11571,5357
186, 11612,5385
187, 11652,5407
188, 11703,5405
189, 11743,5430
190, 11774,5464
191, 11815,5485
192, 11854,5502
193, 11908,5501
194, 11951,5530
195, 11992,5539
196, 12041,5555
197, 12078,5576
198, 12123,5595
199, 12162,5614
200, 12201,5644
201, 12239,5659
202, 12280,5666
203, 12326,5679
204, 12381,5690
205, 12420,5704
206, 12469,5732
207, 12516,5741
208, 12560,5750
209, 12604,5769
210, 12654,5777
211, 12693,5785
212, 12734,5807
213, 12783,5810
214, 12815,5836
215, 12864,5859
216, 12910,5882
217, 12946,5913
218, 12988,5944
219, 13027,5974
220, 13067,6003
221, 13110,6009
222, 13159,6022
223, 13193,6051
224, 13233,6065
225, 13263,6095
226, 13295,6125
227, 13349,6142
228, 13389,6167
229, 13427,6205
230, 13466,6231
231, 13502,6262
232, 13544,6282
233, 13598,6280
234, 13654,6272
235, 13699,6291
236, 13750,6285
237, 13801,6303
238, 13845,6327
239, 13888,6355
240, 13940,6363
241, 13967,6406
242, 14021,6409
243, 14073,6419
244, 14131,6427
245, 14179,6432
246, 14217,6447
247, 14249,6469
248, 14290,6487
249, 14340,6494
250, 14374,6522
251, 14417,6537
252, 14464,6548
253, 14517,6560
254, 14564,6584
255, 14594,6606
256, 14641,6618
257, 14694,6626
258, 14742,6633
259, 14783,6661
260, 14830,6684
261, 14873,6706
262, 14925,6703
263, 14968,6730
264, 15014,6740
265, 15062,6755
266, 15111,6760
267, 15155,6773
268, 15206,6780
269, 15253,6791
270, 15303,6809
271, 15340,6836
272, 15378,6842
273, 15433,6841
274, 15482,6840
275, 15521,6858
276, 15561,6871
277, 15611,6876
278, 15651,6888
279, 15689,6908
280, 15737,6917
281, 15774,6930
282, 15816,6953
283, 15862,6964
284, 15904,6972
285, 15946,6983
286, 15979,7010
287, 16024,7033
288, 16069,7030
289, 16110,7050
290, 16153,7062
291, 16193,7104
292, 16243,7096
293, 16280,7114
294, 16324,7129
295, 16359,7138
296, 16399,7147
297, 16431,7168
298, 16474,7185
299, 16527,7197
300, 16565,7215
301, 16607,7234
302, 16655,7232
303, 16690,7250
304, 16717,7277
305, 16765,7282
306, 16807,7300
307, 16846,7312
308, 16885,7320
309, 16933,7321
310, 16974,7327
311, 17002,7341
312, 17048,7351
313, 17082,7369
314, 17124,7372
315, 17165,7386
316, 17211,7399
317, 17250,7401
318, 17287,7415
319, 17334,7419
320, 17373,7436
321, 17415,7449
322, 17457,7456
323, 17499,7467
324, 17538,7483
325, 17587,7479
326, 17625,7484
327, 17678,7487
328, 17715,7497
329, 17756,7511
330, 17801,7522
331, 17844,7525
332, 17883,7548
333, 17924,7558
334, 17959,7578
335, 18000,7583
336, 18034,7600
337, 18062,7615
338, 18103,7622
339, 18145,7632
340, 18183,7645
341, 18228,7646
342, 18264,7666
343, 18290,7689
344, 18337,7686
345, 18383,7690
346, 18422,7708
347, 18460,7717
348, 18498,7732
349, 18536,7746
350, 18570,7770
351, 18607,7766
352, 18646,7793
353, 18681,7810
354, 18725,7810
355, 18766,7817
356, 18806,7819
357, 18845,7840
358, 18877,7859
358, 18877,7859
359, 18908,7881
360, 18947,7902
361, 18986,7921
362, 19019,7923
363, 19062,7928
364, 19099,7943
365, 19137,7949
366, 19175,7951
367, 19219,7953
368, 19262,7956
369, 19300,7973
370, 19340,7984
371, 19383,7985
372, 19423,7992
373, 19447,8012
374, 19494,8013
375, 19524,8023
376, 19560,8033
377, 19602,8030
378, 19639,8027
379, 19673,8026
380, 19710,8026
381, 19748,8024
382, 19775,8050
