minutes,both,half
0,     0,   0
1,     0,   0
2,     0,   0
3,     0,   0
4,     0,   3
5,     0,  12
6,     0,  36
7,     5,  53
8,    14,  77
9,    26,  97
10,    38, 129
11,    52, 155
11,    52, 155
12,    73, 185
13,   106, 221
14,   124, 265
15,   149, 329
16,   187, 357
17,   240, 417
18,   300, 479
19,   355, 498
20,   414, 545
21,   491, 585
22,   554, 630
23,   640, 638
24,   731, 648
25,   812, 663
26,   869, 687
27,   950, 696
28,  1024, 708
29,  1104, 715
30,  1178, 725
31,  1246, 747
32,  1319, 779
33,  1381, 794
34,  1452, 812
35,  1514, 858
36,  1593, 859
37,  1671, 859
38,  1728, 878
39,  1790, 901
40,  1856, 913
41,  1930, 911
42,  2005, 934
43,  2067, 957
44,  2149, 954
45,  2231, 950
46,  2307, 928
47,  2375, 913
48,  2449, 923
49,  2510, 938
50,  2579, 942
51,  2654, 926
52,  2726, 931
53,  2796, 931
54,  2860, 936
55,  2916, 967
56,  2980, 965
57,  3039, 977
58,  3107, 980
59,  3180, 979
60,  3244, 969
61,  3300, 960
62,  3349, 970
63,  3404, 962
63,  3404, 962
64,  3471, 949
65,  3526, 963
66,  3588, 965
67,  3653, 953
68,  3713, 949
69,  3776, 943
70,  3830, 943
71,  3887, 945
72,  3958, 936
73,  4005, 950
74,  4054, 959
75,  4113, 948
76,  4165, 948
77,  4224, 951
78,  4285, 946
79,  4328, 949
80,  4376, 938
81,  4435, 916
82,  4485, 924
83,  4533, 941
84,  4589, 941
85,  4639, 933
86,  4686, 928
87,  4730, 931
88,  4787, 922
89,  4840, 917
90,  4890, 909
91,  4938, 909
92,  4988, 898
93,  5034, 894
94,  5074, 896
95,  5112, 907
96,  5157, 919
97,  5199, 914
98,  5245, 909
99,  5295, 912
100,  5341, 920
101,  5384, 927
102,  5432, 905
103,  5476, 906
104,  5517, 909
105,  5565, 900
106,  5612, 894
107,  5648, 902
108,  5683, 899
109,  5712, 897
110,  5761, 882
111,  5804, 895
112,  5837, 894
113,  5871, 896
114,  5903, 893
115,  5937, 897
116,  5970, 900
117,  6016, 905
118,  6061, 891
119,  6089, 892
120,  6120, 891
121,  6154, 898
122,  6187, 895
123,  6236, 882
124,  6271, 886
125,  6303, 884
126,  6338, 889
127,  6379, 881
128,  6421, 880
129,  6451, 896
130,  6483, 903
131,  6517, 904
132,  6564, 894
133,  6592, 902
134,  6632, 897
135,  6667, 901
136,  6709, 886
137,  6745, 892
138,  6783, 887
139,  6813, 899
140,  6851, 892
141,  6887, 891
142,  6916, 901
143,  6952, 893
144,  6982, 903
145,  7013, 909
146,  7044, 913
147,  7079, 911
148,  7116, 905
149,  7141, 921
150,  7175, 930
151,  7198, 949
152,  7229, 943
153,  7265, 945
154,  7291, 950
155,  7324, 947
156,  7361, 943
157,  7402, 938
158,  7436, 938
159,  7459, 945
160,  7495, 929
161,  7528, 936
162,  7568, 937
163,  7592, 946
164,  7627, 950
165,  7668, 946
166,  7699, 943
167,  7735, 945
168,  7770, 940
169,  7804, 944
170,  7831, 946
171,  7861, 939
172,  7888, 952
173,  7923, 955
174,  7958, 958
175,  7990, 967
176,  8029, 967
177,  8069, 949
178,  8098, 963
179,  8128, 961
180,  8160, 972
181,  8196, 972
182,  8238, 965
183,  8268, 971
184,  8300, 976
185,  8330, 976
186,  8354, 997
187,  8386,1001
188,  8416,1001
189,  8453, 997
190,  8489, 989
191,  8529, 983
192,  8563, 986
193,  8586, 994
194,  8613, 997
195,  8643, 996
196,  8675,1004
197,  8713, 997
198,  8737,1005
199,  8767,1002
200,  8804,1001
201,  8840, 984
202,  8866, 985
203,  8898, 986
204,  8921, 990
205,  8954, 979
206,  8983, 992
207,  9014, 991
208,  9047, 984
209,  9076, 979
210,  9103, 994
211,  9125,1001
212,  9148,1004
213,  9181,1006
214,  9209,1009
215,  9232,1023
216,  9267,1015
217,  9295,1018
218,  9325,1019
219,  9355,1020
220,  9383,1022
221,  9420,1012
222,  9449,1016
223,  9479,1030
224,  9506,1031
225,  9538,1027
226,  9559,1045
227,  9586,1038
228,  9622,1032
229,  9654,1041
230,  9681,1039
231,  9716,1021
232,  9737,1040
233,  9766,1043
234,  9788,1044
235,  9808,1061
236,  9833,1072
237,  9864,1070
238,  9892,1081
239,  9927,1071
240,  9965,1071
241,  9990,1075
242, 10025,1073
243, 10059,1065
244, 10083,1077
245, 10105,1088
246, 10133,1079
247, 10161,1091
248, 10191,1098
249, 10215,1112
250, 10245,1114
251, 10276,1117
251, 10277,1117
252, 10299,1122
253, 10331,1116
254, 10354,1125
255, 10385,1127
256, 10420,1123
257, 10449,1116
258, 10484,1105
259, 10508,1122
260, 10546,1108
261, 10569,1112
262, 10603,1111
263, 10638,1107
264, 10667,1097
265, 10702,1092
266, 10728,1090
267, 10761,1088
268, 10804,1081
269, 10830,1091
270, 10861,1096
271, 10892,1095
272, 10914,1108
273, 10940,1110
274, 10965,1117
275, 10992,1117
276, 11022,1120
277, 11047,1111
278, 11074,1109
279, 11117,1093
280, 11146,1082
281, 11165,1095
282, 11199,1087
283, 11234,1089
284, 11258,1087
285, 11285,1085
286, 11308,1097
287, 11332,1100
288, 11355,1113
289, 11382,1114
290, 11414,1111
291, 11448,1107
292, 11469,1113
293, 11503,1098
294, 11533,1092
295, 11560,1099
296, 11586,1098
297, 11612,1088
298, 11642,1085
299, 11667,1086
300, 11690,1089
301, 11715,1090
302, 11730,1099
303, 11764,1092
304, 11790,1082
305, 11813,1092
306, 11842,1094
307, 11862,1108
308, 11892,1099
309, 11914,1098
310, 11942,1096
311, 11963,1098
312, 11989,1094
313, 12008,1104
314, 12027,1109
315, 12048,1126
316, 12064,1129
317, 12087,1128
318, 12109,1137
319, 12133,1146
320, 12151,1150
321, 12182,1143
322, 12206,1139
323, 12225,1153
324, 12253,1159
325, 12283,1150
326, 12309,1147
327, 12344,1137
328, 12376,1135
329, 12393,1147
330, 12420,1148
331, 12444,1146
332, 12474,1138
333, 12492,1148
334, 12509,1155
335, 12525,1162
336, 12549,1171
337, 12575,1169
338, 12606,1171
339, 12630,1174
340, 12655,1176
341, 12698,1159
342, 12723,1156
343, 12740,1165
344, 12769,1167
345, 12791,1173
346, 12817,1174
347, 12842,1171
348, 12869,1170
349, 12894,1182
350, 12924,1175
351, 12949,1183
352, 12981,1168
353, 12998,1176
354, 13016,1179
355, 13039,1183
356, 13057,1186
357, 13083,1183
358, 13111,1176
359, 13140,1169
360, 13159,1177
361, 13188,1181
362, 13213,1183
363, 13235,1190
364, 13249,1205
365, 13277,1202
366, 13302,1201
367, 13326,1202
368, 13352,1207
369, 13380,1196
370, 13401,1207
371, 13421,1216
372, 13442,1219
373, 13470,1218
374, 13492,1223
375, 13509,1227
376, 13544,1216
377, 13567,1225
378, 13596,1217
379, 13623,1207
380, 13645,1207
