minutes,both,half
0,     0,   0
1,     0,   6
2,    47,  83
3,   250, 288
4,   602, 624
5,  1168, 865
6,  1800,1115
7,  2533,1264
8,  3243,1402
9,  3883,1542
10,  4546,1641
11,  5193,1692
12,  5806,1715
13,  6385,1789
14,  6977,1755
15,  7493,1731
16,  7940,1736
17,  8366,1785
18,  8832,1720
19,  9242,1690
20,  9623,1716
21,  9980,1727
22, 10360,1707
23, 10758,1560
24, 11086,1531
25, 11371,1554
26, 11675,1561
27, 11955,1523
28, 12248,1469
29, 12520,1419
30, 12739,1442
31, 12989,1410
32, 13228,1353
33, 13437,1354
34, 13658,1349
35, 13872,1341
36, 14089,1330
37, 14299,1293
38, 14510,1272
39, 14692,1269
40, 14900,1238
41, 15097,1212
42, 15286,1174
43, 15465,1157
44, 15632,1125
45, 15774,1137
46, 15933,1140
47, 16087,1130
48, 16238,1100
49, 16396,1074
50, 16537,1060
51, 16664,1082
52, 16827,1062
53, 16964,1036
54, 17066,1062
55, 17227,1025
56, 17363,1010
57, 17493,1013
58, 17614,1023
59, 17750,1013
60, 17879,1016
61, 18013,1034
62, 18162, 994
63, 18321, 956
64, 18417, 949
65, 18544, 936
66, 18661, 936
67, 18775, 943
68, 18885, 946
69, 19002, 949
70, 19120, 951
71, 19248, 924
72, 19372, 918
73, 19483, 906
74, 19575, 925
75, 19693, 902
76, 19816, 894
77, 19927, 896
78, 20038, 895
79, 20166, 879
80, 20281, 891
81, 20386, 903
82, 20484, 929
83, 20605, 927
84, 20728, 917
85, 20865, 883
86, 20977, 891
87, 21088, 885
88, 21190, 886
89, 21304, 873
90, 21412, 874
91, 21517, 872
92, 21623, 904
93, 21733, 917
94, 21846, 900
95, 21945, 922
96, 22062, 923
97, 22178, 896
98, 22262, 929
99, 22373, 929
100, 22487, 927
101, 22623, 900
102, 22718, 922
103, 22821, 909
104, 22927, 917
105, 23054, 928
106, 23173, 936
107, 23290, 940
108, 23411, 956
109, 23522, 964
110, 23655, 952
111, 23765, 964
112, 23886, 946
113, 24003, 951
114, 24127, 939
115, 24237, 953
116, 24340, 978
117, 24468, 966
118, 24575, 994
119, 24697,1002
120, 24826, 970
121, 24933, 995
122, 25052, 994
123, 25167, 996
124, 25279, 986
125, 25391, 969
126, 25497, 993
127, 25617, 998
128, 25748,1001
129, 25844,1033
130, 25969,1031
131, 26081,1036
132, 26212,1022
133, 26320,1030
134, 26442,1023
135, 26558,1029
136, 26661,1047
137, 26772,1069
138, 26889,1074
139, 27007,1085
140, 27135,1070
141, 27257,1072
142, 27382,1082
143, 27501,1091
144, 27608,1121
145, 27735,1141
146, 27872,1116
147, 28017,1103
148, 28132,1126
149, 28263,1135
150, 28400,1138
151, 28550,1131
152, 28679,1144
153, 28782,1162
154, 28905,1188
155, 29032,1180
156, 29142,1189
157, 29279,1193
158, 29405,1209
159, 29538,1216
160, 29708,1181
161, 29820,1200
162, 29948,1198
163, 30073,1196
164, 30188,1198
165, 30314,1200
166, 30460,1189
167, 30565,1203
168, 30683,1236
169, 30818,1238
170, 30945,1227
171, 31075,1217
172, 31183,1239
173, 31313,1261
174, 31466,1235
175, 31604,1248
176, 31749,1237
177, 31875,1256
178, 32013,1264
179, 32147,1254
180, 32269,1267
181, 32400,1277
182, 32534,1258
183, 32671,1248
184, 32775,1293
185, 32895,1301
186, 33024,1297
187, 33145,1291
188, 33257,1305
189, 33384,1295
190, 33507,1318
191, 33624,1324
192, 33735,1351
193, 33870,1349
194, 34021,1330
195, 34137,1351
196, 34285,1322
197, 34407,1324
198, 34525,1340
199, 34653,1351
200, 34796,1356
201, 34932,1342
202, 35051,1373
203, 35189,1376
204, 35324,1382
205, 35471,1364
206, 35602,1356
207, 35728,1359
208, 35849,1359
209, 35974,1361
210, 36101,1372
211, 36242,1361
212, 36362,1364
213, 36483,1385
214, 36584,1385
215, 36709,1394
216, 36823,1401
217, 36927,1420
218, 37058,1419
219, 37189,1403
220, 37313,1406
221, 37441,1401
222, 37564,1399
223, 37681,1426
224, 37810,1421
225, 37928,1428
226, 38050,1425
227, 38177,1411
228, 38306,1434
229, 38446,1407
230, 38566,1425
231, 38665,1453
232, 38773,1458
233, 38903,1452
234, 39020,1457
235, 39150,1457
236, 39259,1486
237, 39385,1490
238, 39517,1467
239, 39654,1449
240, 39774,1449
241, 39896,1467
242, 40016,1463
243, 40150,1439
244, 40266,1439
245, 40371,1446
246, 40488,1454
247, 40615,1428
248, 40742,1408
249, 40848,1402
250, 40943,1436
251, 41065,1436
252, 41168,1452
253, 41289,1438
254, 41400,1428
255, 41501,1433
256, 41604,1463
257, 41713,1456
258, 41832,1460
259, 41951,1463
260, 42067,1455
261, 42189,1424
262, 42294,1449
263, 42410,1440
264, 42513,1448
265, 42624,1449
266, 42723,1467
267, 42826,1480
268, 42956,1472
269, 43071,1463
270, 43198,1455
271, 43301,1465
272, 43402,1463
273, 43520,1442
274, 43620,1446
275, 43705,1464
276, 43797,1486
277, 43903,1496
278, 44009,1492
279, 44102,1525
280, 44216,1505
281, 44327,1480
282, 44428,1457
283, 44542,1440
284, 44627,1438
285, 44737,1421
286, 44827,1444
287, 44909,1462
288, 45013,1463
289, 45109,1449
290, 45215,1436
291, 45312,1435
292, 45419,1431
293, 45509,1438
293, 45510,1437
294, 45592,1435
295, 45691,1434
296, 45773,1455
297, 45865,1449
298, 45950,1462
299, 46049,1452
300, 46145,1452
301, 46238,1451
302, 46330,1447
303, 46407,1454
304, 46501,1438
305, 46589,1425
306, 46683,1423
307, 46760,1431
308, 46849,1442
309, 46934,1438
310, 47008,1471
311, 47099,1457
312, 47195,1452
313, 47267,1464
314, 47351,1475
315, 47449,1449
316, 47536,1469
317, 47628,1460
318, 47713,1459
319, 47800,1450
320, 47897,1443
321, 47985,1433
322, 48051,1465
323, 48149,1458
324, 48244,1442
325, 48320,1449
326, 48409,1451
327, 48503,1457
328, 48586,1464
329, 48677,1450
330, 48758,1449
331, 48849,1448
332, 48935,1442
333, 49016,1438
334, 49086,1431
335, 49164,1414
336, 49234,1405
337, 49301,1410
338, 49371,1411
339, 49447,1420
340, 49525,1409
341, 49594,1405
342, 49656,1420
343, 49725,1421
344, 49808,1394
345, 49882,1381
346, 49945,1404
347, 50025,1407
348, 50098,1404
349, 50164,1397
350, 50245,1394
351, 50325,1384
352, 50389,1397
353, 50456,1405
354, 50533,1407
355, 50614,1391
356, 50695,1381
357, 50768,1376
358, 50833,1390
359, 50918,1382
