minutes,both,half
0,     0,   0
1,     0,   0
2,     0,   0
3,     0,   0
4,     0,   0
4,     0,   0
5,     0,   0
6,     0,   0
7,     0,   4
8,     0,   9
9,     3,  12
10,     4,  20
11,     6,  36
12,    10,  64
13,    20,  76
14,    34, 102
15,    43, 129
16,    54, 173
17,    77, 214
18,    97, 268
19,   126, 315
20,   151, 389
21,   176, 442
22,   208, 507
23,   243, 575
24,   280, 657
25,   317, 748
26,   358, 837
27,   400, 913
28,   448, 993
29,   491,1069
30,   551,1142
31,   621,1245
32,   693,1306
33,   759,1420
34,   822,1529
35,   904,1611
36,   974,1687
37,  1051,1771
38,  1123,1863
39,  1183,1946
40,  1268,2011
41,  1336,2077
42,  1411,2153
43,  1476,2243
44,  1542,2290
45,  1606,2376
46,  1672,2445
47,  1749,2496
48,  1815,2573
49,  1882,2676
50,  1942,2722
51,  2020,2751
52,  2099,2780
53,  2160,2834
54,  2232,2870
55,  2281,2931
56,  2344,2983
57,  2408,3045
58,  2491,3068
59,  2568,3111
60,  2624,3150
61,  2704,3165
62,  2772,3200
63,  2831,3245
64,  2889,3293
65,  2944,3345
66,  3019,3357
67,  3084,3395
68,  3147,3409
69,  3217,3443
70,  3290,3460
71,  3341,3498
72,  3390,3530
73,  3446,3557
74,  3516,3560
75,  3590,3561
76,  3650,3578
77,  3704,3590
78,  3773,3599
79,  3836,3604
80,  3914,3606
81,  3968,3627
82,  4045,3633
83,  4090,3665
84,  4153,3657
85,  4205,3677
86,  4263,3686
87,  4330,3679
88,  4387,3684
89,  4443,3691
90,  4497,3699
91,  4566,3694
92,  4621,3705
93,  4690,3707
94,  4734,3708
95,  4780,3705
96,  4837,3710
97,  4880,3726
98,  4921,3753
99,  4961,3773
100,  5009,3775
101,  5070,3770
102,  5119,3767
103,  5170,3770
104,  5214,3779
105,  5270,3773
106,  5322,3785
107,  5374,3774
108,  5433,3772
109,  5487,3769
110,  5534,3769
111,  5580,3768
112,  5628,3770
113,  5658,3794
114,  5708,3796
115,  5755,3797
116,  5796,3795
117,  5841,3787
118,  5882,3798
119,  5924,3796
120,  5966,3811
121,  6004,3820
122,  6050,3825
123,  6085,3844
124,  6128,3836
125,  6168,3841
126,  6202,3856
127,  6237,3862
128,  6276,3866
129,  6318,3865
130,  6356,3868
131,  6404,3858
132,  6444,3867
133,  6466,3881
134,  6504,3887
135,  6554,3876
136,  6587,3885
137,  6623,3895
138,  6657,3904
139,  6698,3898
140,  6742,3885
141,  6785,3883
142,  6833,3867
143,  6865,3874
144,  6908,3879
145,  6947,3886
146,  6995,3881
147,  7031,3888
148,  7063,3891
149,  7091,3903
150,  7129,3902
151,  7170,3896
152,  7206,3895
153,  7230,3901
154,  7257,3920
155,  7296,3910
156,  7337,3903
157,  7359,3917
158,  7395,3922
159,  7437,3929
160,  7471,3942
161,  7506,3943
162,  7544,3926
163,  7576,3914
164,  7603,3926
165,  7630,3928
166,  7658,3936
167,  7681,3944
168,  7722,3951
169,  7763,3950
170,  7793,3955
171,  7823,3964
172,  7865,3966
173,  7889,3978
174,  7919,3982
175,  7952,3993
176,  7988,3998
177,  8033,3995
178,  8065,4002
179,  8090,4012
180,  8124,4032
181,  8159,4027
182,  8190,4028
183,  8219,4036
184,  8246,4053
185,  8275,4057
186,  8303,4072
187,  8331,4082
188,  8366,4093
189,  8392,4115
190,  8427,4123
191,  8466,4136
192,  8510,4127
193,  8536,4134
194,  8565,4145
195,  8599,4156
196,  8621,4161
197,  8645,4177
198,  8676,4195
199,  8695,4215
200,  8720,4223
201,  8741,4241
202,  8775,4252
203,  8799,4263
204,  8829,4267
205,  8859,4284
206,  8890,4283
207,  8921,4293
208,  8956,4296
209,  8980,4309
210,  9008,4322
211,  9042,4329
212,  9080,4330
213,  9107,4341
214,  9136,4350
215,  9162,4368
216,  9182,4394
217,  9217,4413
218,  9247,4421
219,  9266,4439
220,  9293,4440
221,  9324,4457
222,  9353,4475
223,  9390,4489
224,  9427,4490
225,  9455,4509
226,  9487,4527
227,  9516,4546
228,  9547,4563
229,  9574,4584
230,  9597,4607
231,  9638,4604
232,  9668,4624
233,  9692,4649
234,  9722,4667
235,  9757,4673
236,  9779,4694
237,  9814,4699
238,  9850,4708
239,  9883,4725
240,  9907,4746
241,  9942,4758
242,  9975,4772
243, 10010,4787
244, 10039,4809
245, 10062,4826
246, 10092,4844
247, 10120,4850
248, 10150,4879
249, 10184,4893
250, 10213,4912
251, 10247,4929
252, 10278,4938
253, 10308,4955
254, 10337,4970
254, 10337,4972
255, 10370,4987
256, 10407,4987
257, 10440,5000
258, 10478,5008
259, 10506,5015
260, 10533,5038
261, 10561,5049
262, 10593,5066
262, 10593,5067
263, 10620,5088
264, 10655,5104
265, 10688,5118
266, 10728,5131
267, 10765,5147
268, 10794,5153
269, 10825,5170
270, 10850,5186
271, 10885,5198
272, 10916,5207
273, 10946,5230
274, 10981,5243
275, 11013,5255
276, 11045,5271
277, 11079,5286
278, 11116,5287
279, 11147,5304
280, 11184,5316
281, 11219,5331
282, 11259,5342
283, 11292,5351
284, 11317,5372
285, 11342,5390
286, 11378,5408
287, 11420,5419
288, 11445,5450
289, 11472,5477
290, 11514,5468
291, 11546,5502
292, 11578,5517
293, 11614,5521
294, 11653,5533
295, 11684,5550
296, 11718,5571
297, 11746,5589
298, 11774,5610
299, 11807,5624
300, 11847,5626
301, 11882,5631
302, 11912,5658
303, 11952,5672
304, 11996,5669
305, 12030,5682
306, 12061,5701
307, 12085,5727
308, 12120,5743
309, 12154,5762
310, 12183,5794
311, 12213,5808
312, 12235,5836
313, 12270,5844
314, 12307,5862
315, 12336,5883
316, 12378,5889
317, 12433,5893
318, 12478,5891
319, 12520,5891
320, 12545,5919
321, 12580,5936
322, 12619,5952
323, 12656,5963
324, 12694,5975
325, 12729,5989
326, 12759,6019
327, 12794,6042
328, 12824,6070
329, 12847,6093
330, 12887,6111
331, 12923,6134
332, 12959,6156
333, 12990,6170
334, 13022,6192
335, 13053,6204
336, 13094,6214
337, 13123,6239
338, 13155,6258
339, 13182,6284
340, 13214,6313
341, 13252,6331
342, 13291,6349
343, 13333,6354
344, 13358,6384
345, 13393,6402
346, 13427,6414
347, 13456,6432
348, 13499,6451
349, 13536,6459
350, 13581,6448
351, 13616,6449
352, 13651,6469
353, 13680,6493
354, 13717,6500
355, 13756,6520
356, 13799,6527
357, 13835,6536
358, 13876,6549
359, 13905,6563
360, 13933,6571
361, 13970,6586
362, 14011,6600
363, 14045,6608
364, 14069,6645
365, 14113,6651
366, 14148,6664
367, 14176,6684
368, 14221,6689
369, 14252,6706
370, 14276,6720
371, 14316,6722
372, 14345,6734
373, 14371,6753
374, 14405,6774
375, 14445,6773
376, 14483,6780
377, 14513,6804
378, 14543,6828
379, 14584,6826
380, 14615,6841
381, 14649,6866
