minutes,both,half
0,     0,   0
1,     0,   0
2,     0,   0
3,     0,   2
4,     4,   9
5,    14,  16
6,    30,  38
7,    55,  70
8,   103, 118
9,   157, 174
10,   244, 215
10,   246, 216
11,   330, 282
12,   444, 336
13,   570, 423
14,   717, 467
15,   878, 541
16,  1068, 621
17,  1249, 689
18,  1455, 768
19,  1657, 823
20,  1864, 894
21,  2075, 962
22,  2282,1030
23,  2507,1102
23,  2507,1105
24,  2735,1154
25,  2974,1202
26,  3203,1267
27,  3469,1288
28,  3717,1296
29,  3960,1297
30,  4213,1295
31,  4417,1317
32,  4637,1356
33,  4859,1403
34,  5089,1409
35,  5296,1417
36,  5533,1403
37,  5750,1426
38,  5950,1457
39,  6163,1467
40,  6371,1483
41,  6563,1499
42,  6753,1485
43,  6959,1483
44,  7131,1515
45,  7349,1497
46,  7540,1505
47,  7732,1515
48,  7930,1483
49,  8121,1469
50,  8297,1478
51,  8478,1472
52,  8664,1464
53,  8815,1467
54,  8996,1446
55,  9141,1459
56,  9297,1459
57,  9467,1422
58,  9602,1444
59,  9749,1453
60,  9894,1462
61, 10043,1453
62, 10189,1463
63, 10343,1450
64, 10498,1442
65, 10654,1443
66, 10796,1441
67, 10936,1439
68, 11072,1430
69, 11190,1442
70, 11331,1419
71, 11462,1431
72, 11602,1414
73, 11717,1448
74, 11848,1432
75, 11983,1407
76, 12107,1412
77, 12236,1420
78, 12359,1426
79, 12491,1444
80, 12629,1415
81, 12747,1413
82, 12885,1387
83, 12982,1408
84, 13096,1393
85, 13205,1382
86, 13311,1387
87, 13454,1351
88, 13556,1380
89, 13671,1373
90, 13794,1346
91, 13901,1312
92, 13995,1307
93, 14102,1296
94, 14195,1283
95, 14280,1281
96, 14359,1309
97, 14465,1291
98, 14556,1296
99, 14659,1286
100, 14749,1309
101, 14849,1303
102, 14963,1309
103, 15061,1308
104, 15157,1311
105, 15265,1297
106, 15364,1291
107, 15468,1287
108, 15560,1301
109, 15659,1286
110, 15740,1291
111, 15825,1291
112, 15914,1265
113, 16007,1246
114, 16097,1238
115, 16204,1227
116, 16282,1247
117, 16362,1241
118, 16436,1267
119, 16530,1279
120, 16604,1284
121, 16684,1296
122, 16780,1295
123, 16846,1301
124, 16932,1300
125, 17036,1291
126, 17117,1301
127, 17214,1289
128, 17287,1318
129, 17377,1317
130, 17463,1330
131, 17552,1318
132, 17641,1317
133, 17729,1311
134, 17822,1284
135, 17908,1305
136, 17983,1313
137, 18081,1298
138, 18145,1321
139, 18226,1314
140, 18303,1318
141, 18383,1345
142, 18458,1360
143, 18544,1362
144, 18623,1362
145, 18715,1349
146, 18811,1328
147, 18894,1330
148, 18980,1320
149, 19045,1356
150, 19149,1349
151, 19223,1371
152, 19303,1381
153, 19391,1365
154, 19474,1358
155, 19564,1356
156, 19634,1357
157, 19710,1367
158, 19797,1378
159, 19867,1399
160, 19949,1401
161, 20031,1396
162, 20121,1408
163, 20204,1422
164, 20283,1442
165, 20369,1436
166, 20455,1451
167, 20547,1447
168, 20654,1427
169, 20738,1421
170, 20829,1429
171, 20924,1424
172, 21018,1439
173, 21101,1453
174, 21193,1459
175, 21284,1468
176, 21361,1487
177, 21439,1489
178, 21524,1503
179, 21618,1498
180, 21706,1510
181, 21789,1526
182, 21870,1527
183, 21965,1502
184, 22040,1502
185, 22122,1493
186, 22209,1491
187, 22297,1487
188, 22374,1491
189, 22450,1489
190, 22531,1505
191, 22613,1505
192, 22681,1539
193, 22770,1549
194, 22854,1554
195, 22950,1554
196, 23028,1564
197, 23104,1567
198, 23192,1570
199, 23282,1570
200, 23369,1552
201, 23442,1573
202, 23530,1572
203, 23616,1578
204, 23698,1605
205, 23781,1626
206, 23879,1626
207, 23963,1637
208, 24041,1659
209, 24139,1656
210, 24228,1655
211, 24298,1663
212, 24395,1659
213, 24481,1667
214, 24560,1680
215, 24649,1687
216, 24736,1688
217, 24824,1696
218, 24928,1679
219, 25004,1696
220, 25079,1703
221, 25150,1728
222, 25233,1705
223, 25304,1726
224, 25392,1737
225, 25476,1751
226, 25582,1727
227, 25665,1739
228, 25753,1730
229, 25831,1741
230, 25914,1771
231, 25999,1773
232, 26086,1771
233, 26181,1768
234, 26267,1764
235, 26364,1763
236, 26436,1811
237, 26525,1807
238, 26617,1805
239, 26714,1794
240, 26821,1780
241, 26907,1777
242, 26991,1778
243, 27081,1771
244, 27172,1773
245, 27235,1789
246, 27326,1817
247, 27408,1820
247, 27408,1823
248, 27492,1831
249, 27570,1850
250, 27659,1862
251, 27735,1890
252, 27824,1898
253, 27915,1914
254, 28003,1914
255, 28098,1923
256, 28178,1935
257, 28259,1952
258, 28368,1920
259, 28473,1923
260, 28564,1906
261, 28642,1927
262, 28739,1924
263, 28826,1924
264, 28925,1908
265, 29014,1925
266, 29096,1934
267, 29168,1954
268, 29267,1963
269, 29344,1975
270, 29434,1974
271, 29518,1989
272, 29622,1989
273, 29723,1981
274, 29804,1994
275, 29885,1989
276, 29970,1999
277, 30076,1979
278, 30160,1998
279, 30232,2008
280, 30329,2008
281, 30425,1990
282, 30501,1992
283, 30588,2008
284, 30675,2017
285, 30750,2040
286, 30819,2059
287, 30910,2051
288, 30999,2045
289, 31080,2054
290, 31155,2058
291, 31255,2049
292, 31341,2060
293, 31422,2073
294, 31510,2080
295, 31603,2074
296, 31678,2078
297, 31764,2075
298, 31843,2080
299, 31919,2067
300, 31994,2062
301, 32081,2058
302, 32155,2063
303, 32234,2075
304, 32312,2079
305, 32380,2103
306, 32468,2087
307, 32548,2094
308, 32618,2121
309, 32709,2117
310, 32789,2129
311, 32852,2143
312, 32932,2155
313, 33028,2143
314, 33118,2140
315, 33223,2118
316, 33303,2144
317, 33393,2132
318, 33473,2132
319, 33551,2127
320, 33626,2121
321, 33727,2097
322, 33800,2105
323, 33875,2094
324, 33955,2085
325, 34039,2087
326, 34123,2090
327, 34197,2105
328, 34281,2083
329, 34354,2096
330, 34422,2111
331, 34500,2114
332, 34561,2118
333, 34645,2091
334, 34720,2092
335, 34795,2089
336, 34866,2091
337, 34927,2107
338, 35004,2096
339, 35069,2114
340, 35142,2115
341, 35227,2108
342, 35284,2130
343, 35372,2123
344, 35444,2119
345, 35525,2126
346, 35586,2128
347, 35652,2134
348, 35712,2157
349, 35785,2159
350, 35861,2154
351, 35951,2146
352, 36022,2153
353, 36107,2141
354, 36185,2148
355, 36266,2138
356, 36337,2141
357, 36408,2141
358, 36493,2125
359, 36567,2139
360, 36642,2137
361, 36717,2135
362, 36780,2147
363, 36843,2159
364, 36910,2156
365, 36984,2142
366, 37047,2141
367, 37122,2127
368, 37200,2113
369, 37254,2138
370, 37333,2136
371, 37403,2128
372, 37465,2131
373, 37540,2120
374, 37605,2115
375, 37661,2120
376, 37725,2144
377, 37798,2153
378, 37864,2156
379, 37942,2148
