minutes,both,half
0,     0,   0
1,     0,   4
2,    12,  60
3,    66, 268
4,   203, 584
5,   416, 893
6,   755,1165
7,  1117,1519
8,  1539,1775
9,  2013,1991
10,  2477,2124
11,  2961,2250
12,  3395,2329
13,  3865,2322
14,  4308,2376
15,  4743,2388
16,  5161,2369
17,  5563,2382
18,  5983,2324
19,  6364,2277
20,  6727,2284
21,  7042,2266
22,  7384,2213
23,  7700,2180
24,  7992,2155
25,  8289,2128
26,  8565,2111
27,  8835,2078
28,  9098,2040
29,  9357,2005
30,  9585,1986
31,  9829,1945
32, 10033,1955
33, 10234,1964
34, 10454,1902
35, 10659,1876
36, 10872,1834
37, 11074,1800
38, 11265,1773
39, 11468,1749
40, 11656,1723
41, 11813,1710
42, 11982,1678
43, 12143,1651
44, 12309,1608
45, 12474,1584
46, 12630,1567
47, 12797,1533
48, 12950,1518
49, 13100,1498
50, 13251,1493
51, 13390,1479
52, 13504,1479
53, 13641,1462
54, 13773,1454
55, 13907,1436
56, 14036,1408
57, 14169,1358
58, 14306,1309
59, 14423,1291
60, 14535,1288
61, 14624,1319
62, 14747,1301
63, 14853,1296
64, 14971,1264
65, 15067,1260
66, 15161,1247
67, 15264,1246
68, 15361,1236
69, 15457,1216
70, 15554,1202
71, 15639,1214
72, 15737,1207
73, 15838,1197
74, 15943,1190
75, 16038,1179
76, 16114,1187
77, 16207,1165
78, 16295,1168
79, 16382,1162
80, 16471,1149
81, 16550,1158
82, 16642,1142
83, 16709,1146
84, 16801,1155
85, 16886,1153
86, 16971,1147
87, 17055,1154
88, 17132,1159
89, 17210,1150
90, 17284,1159
91, 17383,1138
92, 17458,1138
93, 17537,1134
94, 17618,1118
95, 17707,1121
96, 17787,1137
97, 17874,1135
98, 17954,1140
99, 18029,1144
100, 18120,1128
101, 18211,1111
102, 18297,1101
103, 18379,1093
104, 18471,1080
105, 18531,1108
106, 18610,1095
107, 18668,1125
108, 18756,1112
109, 18836,1110
110, 18913,1104
111, 18997,1094
112, 19082,1079
113, 19156,1081
114, 19232,1087
115, 19303,1095
116, 19381,1082
117, 19450,1089
118, 19519,1086
119, 19577,1083
120, 19659,1070
121, 19744,1068
122, 19821,1070
123, 19898,1072
124, 19977,1057
125, 20058,1050
126, 20124,1074
127, 20189,1071
128, 20260,1079
129, 20339,1064
130, 20406,1069
131, 20495,1052
132, 20555,1064
133, 20634,1062
134, 20717,1059
135, 20802,1052
136, 20886,1052
137, 20951,1068
138, 21029,1073
139, 21111,1058
140, 21181,1059
141, 21257,1068
142, 21324,1072
143, 21406,1090
144, 21478,1124
145, 21562,1125
146, 21636,1129
147, 21707,1157
148, 21808,1132
149, 21877,1136
150, 21944,1137
151, 22016,1161
152, 22086,1172
153, 22172,1173
154, 22255,1189
155, 22333,1201
156, 22421,1191
157, 22491,1210
158, 22568,1226
159, 22650,1229
160, 22734,1234
161, 22813,1240
162, 22909,1239
163, 22987,1259
164, 23088,1261
165, 23185,1252
166, 23268,1247
167, 23344,1250
168, 23427,1255
169, 23508,1263
170, 23606,1243
171, 23686,1273
172, 23765,1291
173, 23869,1282
174, 23964,1288
175, 24049,1303
176, 24117,1336
177, 24193,1352
178, 24295,1334
179, 24374,1336
180, 24456,1360
181, 24545,1364
182, 24619,1378
183, 24718,1350
184, 24796,1363
185, 24873,1375
186, 24959,1377
187, 25047,1384
188, 25152,1379
189, 25234,1390
190, 25312,1407
191, 25398,1414
192, 25491,1419
193, 25573,1435
194, 25662,1457
195, 25770,1451
196, 25856,1462
197, 25940,1464
198, 26036,1461
199, 26118,1477
200, 26204,1485
201, 26299,1482
202, 26405,1470
203, 26501,1468
204, 26602,1497
205, 26692,1515
206, 26778,1529
207, 26870,1545
207, 26872,1545
208, 26970,1563
209, 27076,1555
210, 27179,1543
211, 27293,1516
212, 27385,1520
213, 27479,1532
214, 27568,1534
215, 27671,1541
216, 27758,1550
217, 27848,1565
218, 27942,1575
219, 28024,1591
220, 28120,1604
221, 28217,1607
222, 28317,1608
223, 28408,1635
224, 28504,1644
225, 28609,1646
226, 28706,1675
227, 28814,1651
228, 28925,1650
229, 29026,1675
230, 29122,1681
231, 29214,1700
232, 29314,1712
233, 29411,1723
234, 29522,1722
235, 29620,1730
236, 29721,1739
237, 29826,1762
238, 29934,1783
239, 30048,1788
240, 30143,1798
241, 30246,1813
242, 30357,1803
243, 30464,1809
244, 30588,1810
244, 30592,1808
245, 30700,1801
246, 30807,1805
247, 30919,1816
248, 31019,1837
249, 31143,1809
250, 31260,1778
251, 31358,1795
251, 31362,1793
252, 31481,1795
253, 31581,1818
253, 31581,1820
254, 31665,1842
255, 31775,1832
256, 31866,1864
257, 31962,1891
258, 32074,1874
259, 32173,1895
260, 32299,1897
261, 32427,1892
262, 32547,1870
263, 32665,1874
264, 32763,1904
264, 32763,1907
265, 32865,1931
266, 32964,1952
267, 33065,1959
268, 33184,1945
269, 33288,1960
