minutes,both,firstonly
0,     0,    0
1,     0,    0
2,     0,    5
3,     0,   50
4,     0,  143
5,     0,  301
6,     5,  497
7,    16,  724
8,    30,  994
9,    51, 1261
10,    85, 1563
11,   110, 1854
12,   151, 2171
13,   199, 2435
14,   244, 2673
15,   300, 2941
16,   374, 3191
17,   464, 3423
18,   545, 3624
19,   629, 3806
20,   730, 3967
21,   830, 4081
22,   925, 4228
23,  1055, 4334
24,  1166, 4437
25,  1275, 4521
26,  1389, 4588
27,  1505, 4649
28,  1621, 4705
29,  1741, 4760
30,  1861, 4814
31,  1977, 4883
32,  2083, 4932
33,  2198, 4945
34,  2308, 4978
35,  2422, 5000
36,  2525, 5031
37,  2648, 5038
38,  2762, 5046
39,  2879, 5044
40,  2967, 5083
41,  3066, 5112
42,  3183, 5127
43,  3293, 5128
44,  3403, 5124
45,  3495, 5144
46,  3595, 5140
47,  3691, 5134
48,  3781, 5153
49,  3882, 5121
50,  4000, 5084
51,  4106, 5062
52,  4207, 5044
53,  4295, 5045
54,  4398, 5030
55,  4485, 5016
56,  4602, 4969
57,  4677, 4967
58,  4750, 4989
59,  4825, 4998
60,  4905, 5001
61,  4989, 4993
62,  5061, 5001
63,  5143, 4988
64,  5220, 4967
65,  5305, 4962
66,  5375, 4936
67,  5447, 4926
68,  5522, 4915
69,  5588, 4916
70,  5664, 4918
71,  5739, 4907
72,  5813, 4887
73,  5887, 4876
74,  5947, 4887
75,  6009, 4899
76,  6087, 4881
77,  6163, 4876
78,  6245, 4862
79,  6312, 4878
80,  6397, 4862
81,  6457, 4864
82,  6534, 4864
83,  6588, 4873
84,  6649, 4861
85,  6701, 4863
86,  6753, 4887
87,  6819, 4873
88,  6882, 4873
89,  6937, 4872
90,  6995, 4873
91,  7056, 4875
92,  7112, 4882
93,  7158, 4902
94,  7209, 4913
95,  7265, 4927
96,  7325, 4909
97,  7381, 4912
98,  7427, 4931
99,  7476, 4941
100,  7542, 4930
101,  7581, 4957
102,  7639, 4963
103,  7672, 4985
104,  7735, 4981
105,  7791, 4980
106,  7836, 5002
107,  7876, 5020
108,  7925, 5031
109,  7969, 5046
110,  8018, 5049
111,  8068, 5060
112,  8116, 5069
113,  8169, 5085
114,  8221, 5097
115,  8274, 5107
116,  8334, 5103
117,  8374, 5135
118,  8413, 5174
119,  8468, 5181
120,  8525, 5171
121,  8559, 5203
122,  8606, 5223
123,  8647, 5222
124,  8688, 5231
125,  8725, 5252
126,  8765, 5272
127,  8815, 5274
128,  8862, 5290
129,  8920, 5294
130,  8966, 5323
131,  9010, 5354
132,  9061, 5365
133,  9107, 5363
134,  9147, 5369
135,  9191, 5389
136,  9234, 5410
137,  9273, 5432
138,  9326, 5451
139,  9370, 5470
140,  9418, 5487
141,  9468, 5500
142,  9508, 5524
143,  9539, 5552
144,  9581, 5563
145,  9616, 5591
146,  9652, 5624
147,  9693, 5649
148,  9746, 5664
149,  9787, 5691
150,  9835, 5709
151,  9868, 5749
152,  9908, 5780
153,  9963, 5795
154, 10006, 5820
155, 10047, 5842
156, 10072, 5871
157, 10108, 5895
158, 10153, 5914
159, 10194, 5931
160, 10237, 5961
161, 10279, 5992
162, 10328, 6012
163, 10365, 6034
164, 10406, 6074
165, 10462, 6087
166, 10503, 6103
167, 10535, 6140
168, 10584, 6150
169, 10628, 6178
170, 10678, 6215
171, 10727, 6251
172, 10763, 6286
173, 10806, 6309
174, 10841, 6340
175, 10881, 6371
176, 10924, 6393
177, 10980, 6417
178, 11031, 6420
179, 11071, 6449
180, 11115, 6472
181, 11159, 6497
182, 11201, 6510
183, 11245, 6545
184, 11284, 6569
185, 11327, 6601
186, 11368, 6623
187, 11410, 6647
188, 11452, 6678
189, 11486, 6720
190, 11522, 6740
191, 11558, 6769
192, 11599, 6801
193, 11644, 6819
194, 11683, 6838
195, 11721, 6862
196, 11760, 6886
197, 11799, 6899
198, 11834, 6923
199, 11867, 6963
200, 11917, 6978
201, 11950, 7017
202, 11988, 7044
203, 12031, 7073
204, 12071, 7104
205, 12114, 7127
206, 12167, 7137
207, 12216, 7157
208, 12263, 7183
209, 12304, 7215
210, 12351, 7236
211, 12392, 7262
212, 12436, 7277
213, 12476, 7289
214, 12531, 7305
215, 12567, 7345
216, 12611, 7374
217, 12650, 7390
218, 12694, 7421
219, 12725, 7441
220, 12766, 7465
221, 12805, 7489
222, 12849, 7503
223, 12890, 7527
224, 12925, 7552
225, 12970, 7563
226, 13007, 7583
227, 13055, 7617
228, 13101, 7618
229, 13142, 7641
230, 13186, 7672
231, 13220, 7715
232, 13261, 7739
233, 13297, 7769
234, 13353, 7792
235, 13391, 7812
236, 13433, 7827
237, 13477, 7844
238, 13516, 7872
239, 13559, 7888
240, 13599, 7912
241, 13641, 7923
242, 13687, 7930
243, 13727, 7948
244, 13763, 7979
245, 13805, 7996
246, 13842, 8019
247, 13869, 8051
248, 13903, 8070
249, 13940, 8102
250, 13980, 8113
251, 14007, 8152
252, 14048, 8173
253, 14081, 8194
254, 14115, 8218
255, 14147, 8244
256, 14185, 8257
257, 14224, 8277
258, 14274, 8280
259, 14314, 8310
260, 14355, 8325
261, 14394, 8348
262, 14427, 8380
263, 14470, 8396
264, 14509, 8399
265, 14546, 8419
266, 14593, 8428
267, 14630, 8448
268, 14665, 8465
269, 14712, 8464
270, 14755, 8464
271, 14795, 8491
272, 14838, 8491
273, 14874, 8503
274, 14921, 8497
275, 14959, 8503
276, 14994, 8517
277, 15027, 8534
278, 15059, 8555
279, 15086, 8584
280, 15119, 8597
281, 15157, 8611
282, 15199, 8637
283, 15238, 8659
284, 15267, 8675
285, 15297, 8693
286, 15330, 8700
287, 15379, 8719
288, 15415, 8731
289, 15462, 8733
290, 15499, 8752
291, 15533, 8765
292, 15574, 8784
293, 15610, 8794
294, 15642, 8813
295, 15679, 8819
296, 15717, 8829
297, 15764, 8850
298, 15809, 8850
299, 15843, 8861
300, 15876, 8876
301, 15912, 8882
302, 15940, 8906
303, 15975, 8916
304, 16009, 8930
305, 16036, 8956
306, 16076, 8966
307, 16107, 8978
308, 16138, 9000
309, 16170, 9012
310, 16206, 9020
311, 16242, 9039
312, 16280, 9047
313, 16319, 9052
314, 16357, 9055
315, 16388, 9074
316, 16429, 9083
317, 16464, 9090
318, 16518, 9082
319, 16549, 9086
320, 16577, 9093
321, 16607, 9101
322, 16645, 9109
323, 16686, 9104
324, 16717, 9114
325, 16754, 9114
326, 16791, 9131
327, 16829, 9127
328, 16868, 9132
329, 16900, 9145
330, 16935, 9158
331, 16980, 9158
332, 17014, 9153
333, 17050, 9154
334, 17088, 9142
335, 17124, 9137
336, 17150, 9155
337, 17191, 9149
338, 17231, 9147
339, 17269, 9152
340, 17309, 9161
341, 17341, 9159
342, 17374, 9152
343, 17412, 9145
344, 17442, 9161
345, 17477, 9166
