minutes,both,firstonly
52820, 42411, 7209
52830, 42416, 7209
52840, 42422, 7209
52850, 42429, 7208
52860, 42434, 7208
52870, 42441, 7205
52880, 42445, 7207
52890, 42453, 7203
52900, 42455, 7208
52910, 42460, 7211
52920, 42464, 7212
52930, 42467, 7215
52940, 42475, 7213
52950, 42482, 7212
52960, 42485, 7213
52970, 42490, 7209
52980, 42494, 7209
52990, 42498, 7213
53000, 42508, 7206
53010, 42512, 7205
53020, 42517, 7202
53030, 42524, 7202
53040, 42528, 7203
53050, 42531, 7205
53060, 42537, 7202
53070, 42545, 7198
53080, 42551, 7199
53090, 42558, 7199
53100, 42564, 7195
53110, 42571, 7191
53120, 42578, 7186
53130, 42586, 7186
53140, 42591, 7184
53150, 42595, 7186
53160, 42599, 7187
53170, 42606, 7183
53180, 42614, 7181
53190, 42619, 7186
53200, 42626, 7183
53210, 42628, 7184
53220, 42634, 7185
53230, 42638, 7186
53240, 42647, 7181
53250, 42653, 7182
53260, 42656, 7181
53270, 42659, 7187
53280, 42662, 7190
53290, 42672, 7185
53300, 42681, 7183
53310, 42687, 7185
53320, 42690, 7187
53330, 42694, 7191
53340, 42699, 7187
53350, 42704, 7186
53360, 42715, 7178
53370, 42716, 7182
53380, 42717, 7186
53390, 42719, 7189
53400, 42729, 7184
53410, 42733, 7187
53420, 42741, 7183
53430, 42748, 7179
53440, 42754, 7176
53450, 42763, 7170
53460, 42766, 7168
53470, 42773, 7165
53480, 42779, 7163
53490, 42785, 7158
53500, 42788, 7162
53510, 42791, 7162
53520, 42796, 7162
53530, 42800, 7161
53540, 42803, 7166
53550, 42813, 7160
53560, 42816, 7164
53570, 42827, 7157
53580, 42835, 7150
53590, 42839, 7150
53600, 42842, 7152
53610, 42848, 7148
53620, 42850, 7148
53630, 42857, 7149
53640, 42860, 7153
53650, 42867, 7150
53660, 42874, 7144
53670, 42875, 7147
53680, 42882, 7147
53690, 42887, 7146
53700, 42891, 7147
53710, 42893, 7149
53720, 42895, 7151
53730, 42900, 7149
53740, 42905, 7149
53750, 42911, 7147
53760, 42915, 7148
53770, 42923, 7145
53780, 42924, 7149
53790, 42932, 7143
53800, 42935, 7143
53810, 42937, 7145
53820, 42941, 7145
53830, 42947, 7150
53840, 42949, 7151
53850, 42955, 7147
53860, 42959, 7145
53870, 42967, 7141
53880, 42971, 7140
53890, 42976, 7137
53900, 42983, 7136
53910, 42987, 7139
53920, 42991, 7136
53930, 42994, 7139
53940, 42998, 7140
53950, 43005, 7137
53960, 43010, 7139
53970, 43017, 7140
53980, 43023, 7137
53990, 43029, 7137
54000, 43032, 7137
54010, 43034, 7142
54020, 43039, 7138
54030, 43045, 7135
54040, 43050, 7135
54050, 43055, 7136
54060, 43058, 7138
54070, 43060, 7137
54080, 43070, 7131
54090, 43073, 7130
54100, 43078, 7127
54110, 43082, 7132
54120, 43086, 7130
54130, 43090, 7130
54140, 43091, 7133
54150, 43096, 7132
54160, 43100, 7131
54170, 43104, 7132
54180, 43111, 7130
54190, 43116, 7128
54200, 43120, 7127
54210, 43121, 7129
54220, 43125, 7132
54230, 43130, 7130
54240, 43139, 7130
54250, 43146, 7132
54260, 43151, 7130
54270, 43155, 7128
54280, 43160, 7132
54290, 43166, 7128
54300, 43175, 7124
54310, 43179, 7125
54320, 43183, 7123
54330, 43185, 7128
54340, 43189, 7126
54350, 43193, 7128
54360, 43201, 7125
54370, 43209, 7120
54380, 43216, 7118
54390, 43220, 7117
54400, 43226, 7119
54410, 43227, 7120
54420, 43235, 7115
54430, 43241, 7112
54440, 43246, 7109
54450, 43250, 7111
54460, 43257, 7109
54470, 43261, 7108
54480, 43266, 7110
54490, 43272, 7110
54500, 43273, 7113
54510, 43281, 7110
54520, 43287, 7111
54530, 43292, 7112
54540, 43294, 7118
54550, 43303, 7112
54560, 43309, 7109
54570, 43313, 7109
54580, 43318, 7110
54590, 43325, 7105
54600, 43331, 7102
54610, 43333, 7104
54620, 43338, 7103
54630, 43341, 7105
54640, 43346, 7104
54650, 43354, 7105
54660, 43360, 7104
54670, 43364, 7106
54680, 43371, 7104
54690, 43376, 7103
54700, 43383, 7101
54710, 43389, 7101
54720, 43393, 7102
54730, 43396, 7106
54740, 43399, 7108
54750, 43404, 7109
54760, 43411, 7105
54770, 43418, 7103
54780, 43423, 7104
54790, 43431, 7100
54800, 43436, 7100
54810, 43445, 7093
54820, 43451, 7095
54830, 43462, 7086
54840, 43465, 7084
54850, 43469, 7085
54860, 43475, 7085
54870, 43476, 7092
54880, 43481, 7093
54890, 43486, 7090
54900, 43492, 7088
54910, 43498, 7086
54920, 43504, 7089
54930, 43507, 7090
54940, 43510, 7091
54950, 43514, 7090
54960, 43519, 7091
54970, 43529, 7088
54980, 43536, 7088
54990, 43538, 7089
55000, 43544, 7089
55010, 43545, 7092
55020, 43548, 7092
55030, 43557, 7086
55040, 43562, 7083
55050, 43564, 7086
55060, 43566, 7086
55070, 43573, 7081
55080, 43575, 7083
55090, 43579, 7083
55100, 43583, 7084
55110, 43584, 7086
55120, 43589, 7086
55130, 43592, 7089
55140, 43594, 7089
55150, 43597, 7090
55160, 43600, 7093
55170, 43603, 7093
55180, 43610, 7089
55190, 43616, 7085
55200, 43619, 7092
55210, 43624, 7092
55220, 43628, 7090
55230, 43638, 7084
55240, 43643, 7084
55250, 43647, 7084
55260, 43653, 7086
55270, 43655, 7089
55280, 43660, 7089
55290, 43670, 7083
55300, 43677, 7081
55310, 43681, 7080
55320, 43685, 7078
55330, 43694, 7073
55340, 43698, 7074
55350, 43702, 7073
55360, 43707, 7070
55370, 43713, 7067
55380, 43722, 7061
55390, 43728, 7063
55400, 43734, 7060
55410, 43739, 7060
55420, 43744, 7059
55430, 43747, 7060
55440, 43750, 7060
55450, 43755, 7057
55460, 43762, 7052
55470, 43770, 7045
55480, 43778, 7044
55490, 43787, 7042
55500, 43789, 7043
55510, 43791, 7043
55520, 43800, 7041
55530, 43806, 7038
55540, 43811, 7041
55550, 43817, 7041
55560, 43822, 7041
55570, 43830, 7035
55580, 43838, 7032
55590, 43846, 7028
55600, 43852, 7024
55610, 43855, 7031
55620, 43861, 7030
55630, 43872, 7024
55640, 43877, 7023
55650, 43885, 7023
55660, 43891, 7020
55670, 43895, 7018
55680, 43899, 7016
55690, 43906, 7016
55700, 43911, 7012
55710, 43914, 7012
55720, 43919, 7011
55730, 43922, 7011
55740, 43927, 7012
55750, 43931, 7015
55760, 43938, 7013
55770, 43943, 7011
55780, 43948, 7009
55790, 43956, 7006
55800, 43961, 7005
55810, 43967, 7003
55820, 43974, 7002
55830, 43981, 7002
55840, 43983, 7007
55850, 43987, 7009
55860, 43989, 7012
55870, 43992, 7011
55880, 43994, 7018
55890, 43999, 7019
55900, 44005, 7021
55910, 44011, 7019
55920, 44015, 7020
55930, 44023, 7020
55940, 44031, 7014
55950, 44033, 7018
55960, 44034, 7022
55970, 44040, 7025
55980, 44045, 7022
55990, 44052, 7017
56000, 44054, 7020
56010, 44056, 7024
56020, 44060, 7023
56030, 44063, 7027
56040, 44070, 7030
56050, 44078, 7022
56060, 44082, 7020
56070, 44088, 7021
56080, 44093, 7017
56090, 44095, 7019
56100, 44099, 7020
56110, 44107, 7014
56120, 44109, 7013
56130, 44113, 7012
56140, 44119, 7008
56150, 44123, 7007
56160, 44127, 7006
56170, 44130, 7012
56180, 44132, 7019
56190, 44137, 7018
56200, 44143, 7017
56210, 44148, 7015
56220, 44152, 7014
56230, 44160, 7007
56240, 44163, 7005
56250, 44168, 7004
56260, 44177, 7000
56270, 44185, 6997
56280, 44193, 7000
56290, 44198, 7001
56300, 44200, 7006
56310, 44206, 7003
56320, 44213, 6999
56330, 44220, 6995
56340, 44225, 6997
56350, 44228, 7000
56360, 44231, 7001
56370, 44236, 7001
56380, 44244, 6995
56390, 44253, 6996
56400, 44256, 6996
56410, 44261, 6994
56420, 44265, 6992
56430, 44270, 6991
56440, 44279, 6984
56450, 44283, 6988
56460, 44284, 6991
56470, 44293, 6985
56480, 44295, 6989
56490, 44298, 6992
56500, 44305, 6990
56510, 44310, 6991
56520, 44313, 6997
56530, 44315, 6997
56540, 44321, 6994
56550, 44326, 6995
56560, 44329, 6996
56570, 44336, 6995
56580, 44339, 6996
56590, 44345, 6994
56600, 44350, 6996
56610, 44355, 6998
56620, 44355, 7001
56630, 44359, 7001
56640, 44366, 6996
56650, 44369, 6999
56660, 44372, 7002
56670, 44380, 6996
56680, 44386, 6996
56690, 44392, 6993
56700, 44397, 6994
56710, 44403, 6993
56720, 44411, 6986
56730, 44413, 6990
56740, 44421, 6988
56750, 44426, 6990
56760, 44434, 6986
56770, 44437, 6986
56780, 44440, 6989
56790, 44452, 6983
56800, 44455, 6984
56810, 44460, 6985
56820, 44464, 6985
56830, 44469, 6987
56840, 44473, 6986
56850, 44480, 6985
56860, 44484, 6986
