304,  9292, 1521
305,  9308, 1526
306,  9328, 1520
307,  9341, 1524
308,  9354, 1542
309,  9375, 1531
310,  9394, 1533
311,  9410, 1536
312,  9432, 1533
313,  9456, 1536
314,  9476, 1542
315,  9493, 1549
316,  9510, 1549
317,  9524, 1549
318,  9536, 1567
319,  9562, 1552
320,  9584, 1546
321,  9599, 1554
322,  9618, 1551
323,  9635, 1553
324,  9661, 1543
325,  9676, 1554
326,  9692, 1552
327,  9715, 1557
328,  9733, 1560
329,  9746, 1566
330,  9765, 1569
331,  9790, 1560
332,  9808, 1565
333,  9823, 1574
334,  9834, 1591
335,  9852, 1591
336,  9872, 1588
337,  9897, 1577
338,  9918, 1577
339,  9937, 1577
340,  9959, 1573
341,  9975, 1583
342,  9990, 1596
343, 10018, 1592
344, 10031, 1608
345, 10044, 1618
346, 10065, 1620
347, 10085, 1615
348, 10107, 1619
349, 10126, 1608
350, 10156, 1600
351, 10180, 1596
352, 10197, 1590
353, 10214, 1585
354, 10229, 1586
355, 10249, 1587
356, 10265, 1589
357, 10284, 1592
358, 10306, 1583
359, 10318, 1591
360, 10334, 1599
361, 10347, 1602
362, 10374, 1585
363, 10390, 1588
364, 10401, 1592
365, 10428, 1581
366, 10439, 1598
367, 10459, 1594
368, 10481, 1585
369, 10500, 1583
370, 10520, 1577
371, 10541, 1574
372, 10554, 1579
373, 10576, 1579
374, 10587, 1585
375, 10604, 1588
376, 10616, 1591
377, 10625, 1602
378, 10640, 1601
379, 10652, 1601
380, 10663, 1609
381, 10683, 1601
382, 10702, 1593
383, 10717, 1591
384, 10735, 1591
385, 10750, 1593
386, 10769, 1592
387, 10783, 1598
388, 10802, 1590
389, 10819, 1593
390, 10833, 1596
391, 10849, 1590
392, 10865, 1588
393, 10880, 1585
394, 10899, 1581
395, 10920, 1574
396, 10935, 1576
397, 10949, 1571
398, 10955, 1580
399, 10964, 1592
400, 10981, 1589
401, 10996, 1594
402, 11010, 1608
403, 11019, 1617
404, 11035, 1614
405, 11051, 1616
406, 11068, 1619
407, 11078, 1625
408, 11094, 1624
409, 11117, 1623
410, 11131, 1622
411, 11148, 1621
412, 11165, 1622
413, 11182, 1616
414, 11196, 1610
415, 11214, 1609
416, 11227, 1606
417, 11238, 1611
418, 11257, 1606
419, 11274, 1600
420, 11290, 1599
421, 11308, 1592
422, 11322, 1591
423, 11334, 1596
424, 11348, 1598
425, 11360, 1601
426, 11377, 1596
427, 11396, 1588
428, 11406, 1592
429, 11425, 1590
430, 11440, 1595
431, 11456, 1593
432, 11467, 1590
433, 11477, 1593
434, 11491, 1598
435, 11507, 1600
436, 11521, 1604
437, 11538, 1601
438, 11549, 1604
439, 11564, 1600
440, 11573, 1609
441, 11588, 1611
442, 11605, 1606
443, 11610, 1615
444, 11625, 1611
445, 11637, 1609
446, 11651, 1610
447, 11663, 1610
448, 11676, 1609
449, 11695, 1607
450, 11706, 1609
451, 11718, 1618
452, 11730, 1625
453, 11752, 1615
454, 11774, 1610
455, 11795, 1604
456, 11809, 1602
457, 11821, 1608
458, 11827, 1613
459, 11844, 1605
460, 11860, 1607
461, 11874, 1610
462, 11891, 1609
463, 11904, 1604
464, 11916, 1613
465, 11929, 1609
466, 11939, 1612
467, 11953, 1615
468, 11967, 1615
469, 11983, 1614
470, 11997, 1615
471, 12011, 1617
472, 12023, 1620
473, 12036, 1623
474, 12053, 1623
475, 12068, 1625
476, 12084, 1626
477, 12101, 1625
478, 12112, 1630
479, 12128, 1622
480, 12139, 1633
481, 12153, 1630
482, 12163, 1636
483, 12178, 1635
484, 12195, 1628
485, 12205, 1636
486, 12222, 1643
487, 12241, 1636
488, 12255, 1635
489, 12268, 1642
490, 12281, 1643
491, 12295, 1644
492, 12305, 1650
493, 12318, 1653
494, 12328, 1655
495, 12342, 1657
496, 12353, 1665
497, 12366, 1667
498, 12378, 1671
499, 12389, 1673
500, 12411, 1666
501, 12421, 1667
502, 12432, 1669
503, 12449, 1668
504, 12465, 1671
505, 12479, 1664
506, 12496, 1658
507, 12510, 1655
508, 12522, 1663
509, 12531, 1666
510, 12547, 1662
511, 12556, 1668
512, 12572, 1664
513, 12584, 1664
514, 12599, 1666
515, 12617, 1667
516, 12636, 1660
517, 12651, 1670
518, 12662, 1674
519, 12681, 1682
520, 12698, 1678
521, 12709, 1678
522, 12725, 1685
523, 12741, 1684
524, 12755, 1687
525, 12774, 1673
526, 12795, 1670
527, 12811, 1672
528, 12826, 1670
529, 12838, 1673
530, 12863, 1668
531, 12878, 1671
532, 12890, 1675
533, 12910, 1664
534, 12926, 1662
535, 12945, 1657
536, 12953, 1665
537, 12972, 1663
538, 12984, 1668
539, 13000, 1663
540, 13009, 1669
541, 13026, 1664
542, 13048, 1657
543, 13072, 1646
544, 13089, 1647
545, 13102, 1652
546, 13118, 1651
547, 13133, 1653
548, 13151, 1648
549, 13167, 1646
550, 13176, 1653
551, 13192, 1651
552, 13209, 1648
553, 13222, 1651
554, 13236, 1651
555, 13255, 1647
556, 13273, 1638
