minutes,both,firstonly
0,     0,    0
0,     0,    0
1,     0,    0
2,     0,    4
3,     0,   32
4,     0,  116
5,     0,  256
6,     0,  481
7,     0,  749
8,     3, 1089
9,     5, 1490
10,    10, 1874
11,    13, 2328
12,    16, 2757
13,    21, 3129
14,    27, 3546
15,    35, 3953
16,    47, 4317
17,    53, 4664
18,    66, 4992
19,    77, 5335
20,    86, 5660
21,   101, 5916
22,   122, 6150
23,   143, 6380
24,   171, 6618
25,   226, 6802
26,   273, 7004
27,   305, 7182
28,   343, 7338
29,   375, 7472
30,   416, 7608
31,   458, 7739
32,   497, 7890
33,   540, 7988
34,   583, 8097
35,   628, 8178
36,   664, 8290
37,   722, 8368
38,   765, 8460
39,   809, 8546
40,   860, 8610
41,   913, 8682
42,   958, 8752
43,  1008, 8790
44,  1063, 8820
45,  1118, 8862
46,  1171, 8925
47,  1235, 8946
48,  1306, 8963
49,  1370, 8984
50,  1434, 8993
51,  1485, 9021
52,  1544, 9048
53,  1611, 9070
54,  1678, 9090
55,  1747, 9089
56,  1809, 9113
57,  1863, 9158
58,  1911, 9206
59,  1971, 9220
60,  2039, 9226
61,  2122, 9220
62,  2190, 9222
63,  2272, 9218
64,  2352, 9207
65,  2422, 9209
66,  2498, 9206
67,  2570, 9204
68,  2652, 9195
69,  2724, 9181
70,  2794, 9186
71,  2863, 9198
72,  2932, 9192
73,  2987, 9205
74,  3061, 9187
75,  3128, 9170
76,  3204, 9164
77,  3270, 9162
78,  3328, 9164
79,  3399, 9152
80,  3478, 9140
81,  3547, 9138
82,  3620, 9126
83,  3691, 9114
84,  3752, 9107
85,  3823, 9100
86,  3882, 9103
87,  3958, 9095
88,  4026, 9087
89,  4091, 9095
90,  4143, 9116
91,  4215, 9123
92,  4280, 9111
93,  4354, 9105
94,  4419, 9101
95,  4482, 9103
96,  4551, 9110
97,  4635, 9092
98,  4706, 9089
99,  4759, 9118
100,  4823, 9115
101,  4877, 9117
102,  4923, 9143
103,  4989, 9156
104,  5045, 9164
105,  5116, 9172
106,  5181, 9173
107,  5240, 9189
108,  5310, 9175
109,  5366, 9192
110,  5435, 9175
111,  5514, 9157
112,  5569, 9168
113,  5629, 9171
