minutes,both,firstonly
0,     0,    0
1,     0,    0
2,     0,    0
3,     0,    0
4,     0,   11
5,     0,   28
6,     4,   56
7,     8,  104
8,    13,  164
9,    24,  228
10,    41,  297
11,    54,  365
12,    76,  438
13,   102,  499
14,   131,  556
15,   173,  655
16,   209,  747
17,   272,  837
18,   335,  922
19,   396,  997
20,   453, 1072
21,   527, 1127
22,   588, 1185
23,   672, 1219
24,   748, 1263
25,   825, 1309
26,   896, 1335
27,   965, 1388
28,  1035, 1436
29,  1100, 1474
30,  1195, 1471
31,  1277, 1486
32,  1340, 1523
33,  1418, 1550
34,  1492, 1583
35,  1559, 1613
36,  1664, 1592
37,  1738, 1613
38,  1817, 1627
39,  1893, 1645
40,  1975, 1624
41,  2041, 1657
42,  2111, 1664
43,  2196, 1660
44,  2263, 1677
45,  2331, 1687
46,  2420, 1689
47,  2486, 1694
48,  2563, 1679
49,  2625, 1673
50,  2681, 1692
51,  2773, 1664
52,  2815, 1687
53,  2881, 1681
54,  2940, 1684
55,  3021, 1675
56,  3089, 1653
57,  3160, 1647
58,  3210, 1657
59,  3281, 1648
60,  3345, 1644
61,  3402, 1658
62,  3471, 1639
63,  3526, 1633
64,  3590, 1618
65,  3642, 1612
66,  3704, 1593
67,  3764, 1570
68,  3809, 1570
69,  3863, 1566
70,  3912, 1558
71,  3970, 1557
72,  4012, 1576
73,  4060, 1572
74,  4118, 1546
75,  4168, 1541
76,  4219, 1535
77,  4261, 1543
78,  4288, 1556
79,  4336, 1554
80,  4376, 1549
81,  4432, 1532
82,  4488, 1515
83,  4552, 1485
84,  4586, 1489
85,  4631, 1481
86,  4667, 1486
87,  4718, 1479
88,  4765, 1483
89,  4805, 1485
90,  4841, 1490
91,  4885, 1486
92,  4931, 1491
93,  4970, 1489
94,  5013, 1483
95,  5063, 1468
96,  5092, 1469
97,  5138, 1454
98,  5181, 1444
99,  5220, 1448
100,  5254, 1438
101,  5293, 1431
102,  5329, 1426
103,  5369, 1421
104,  5398, 1424
105,  5428, 1430
106,  5471, 1429
107,  5506, 1423
108,  5548, 1402
109,  5586, 1393
110,  5624, 1385
111,  5660, 1377
112,  5697, 1375
113,  5732, 1367
114,  5762, 1367
115,  5789, 1368
116,  5818, 1358
117,  5849, 1360
118,  5880, 1354
119,  5909, 1357
120,  5947, 1339
121,  5971, 1352
122,  6007, 1336
123,  6048, 1322
124,  6085, 1314
125,  6109, 1327
126,  6148, 1320
127,  6178, 1320
128,  6206, 1319
129,  6240, 1328
130,  6255, 1347
131,  6282, 1347
132,  6308, 1349
133,  6332, 1362
134,  6354, 1363
135,  6377, 1370
136,  6412, 1356
137,  6446, 1356
138,  6471, 1352
139,  6503, 1342
140,  6530, 1343
141,  6552, 1349
142,  6584, 1343
143,  6608, 1350
144,  6636, 1353
145,  6660, 1350
146,  6692, 1339
147,  6722, 1336
148,  6749, 1338
149,  6777, 1331
150,  6810, 1323
151,  6832, 1318
152,  6860, 1326
153,  6879, 1345
156,  6966, 1350
157,  6990, 1357
158,  7017, 1350
159,  7063, 1327
160,  7083, 1339
161,  7112, 1340
162,  7136, 1339
163,  7158, 1349
164,  7182, 1342
165,  7209, 1348
166,  7235, 1345
167,  7256, 1362
168,  7279, 1360
169,  7305, 1375
170,  7333, 1385
171,  7355, 1399
172,  7378, 1400
173,  7403, 1407
174,  7429, 1422
175,  7448, 1436
176,  7468, 1453
177,  7504, 1439
178,  7529, 1436
179,  7562, 1429
180,  7590, 1428
181,  7617, 1435
182,  7643, 1434
1079, 28169, 2160
1080, 28180, 2159
1081, 28195, 2164
1082, 28211, 2158
1083, 28224, 2155
1084, 28235, 2161
1085, 28248, 2160
1086, 28264, 2152
1087, 28273, 2152
1088, 28282, 2154
1089, 28301, 2142
1090, 28316, 2134
1091, 28334, 2125
1092, 28352, 2116
1093, 28373, 2108
1094, 28382, 2110
1095, 28391, 2112
1096, 28402, 2111
1097, 28419, 2103
1098, 28435, 2097
1099, 28443, 2096
1100, 28451, 2096
1101, 28462, 2099
1102, 28477, 2098
1103, 28486, 2097
1104, 28496, 2100
1105, 28509, 2090
1106, 28521, 2083
1107, 28529, 2087
1108, 28540, 2087
1109, 28552, 2085
1110, 28561, 2084
1111, 28567, 2091
1112, 28582, 2090
1113, 28587, 2092
1114, 28601, 2081
1115, 28616, 2073
1116, 28629, 2069
1117, 28641, 2065
1118, 28647, 2064
1119, 28664, 2057
1120, 28680, 2048
1121, 28692, 2051
1122, 28702, 2053
1123, 28707, 2057
1124, 28716, 2059
1125, 28723, 2064
1126, 28740, 2055
1127, 28748, 2055
1128, 28753, 2057
1129, 28760, 2059
1130, 28772, 2054
1131, 28784, 2051
1132, 28790, 2053
1133, 28796, 2055
1134, 28802, 2063
1135, 28815, 2062
1136, 28822, 2062
1137, 28829, 2060
1138, 28841, 2056
1139, 28856, 2050
1140, 28865, 2052
1141, 28872, 2052
1142, 28879, 2049
1143, 28891, 2052
1144, 28896, 2054
1145, 28906, 2053
1146, 28918, 2051
1147, 28931, 2044
1148, 28937, 2046
1149, 28942, 2044
1150, 28949, 2039
1151, 28962, 2033
1152, 28969, 2034
1153, 28978, 2033
1154, 28983, 2030
1155, 28995, 2022
1156, 29006, 2021
1157, 29019, 2012
1158, 29028, 2004
1159, 29038, 2000
1160, 29041, 2003
1161, 29052, 2001
1162, 29055, 2003
1163, 29061, 2005
1164, 29072, 2004
1165, 29083, 2001
1166, 29091, 1997
1167, 29102, 1994
1168, 29108, 1995
1169, 29116, 1998
1170, 29120, 1998
1171, 29129, 1994
1172, 29140, 1993
1173, 29152, 1988
1174, 29162, 1985
1175, 29168, 1986
1176, 29174, 1992
1177, 29176, 1996
1178, 29185, 1994
1179, 29193, 1996
1180, 29198, 2001
1181, 29204, 2001
1182, 29210, 1999
1183, 29222, 1991
1184, 29226, 1993
1185, 29233, 1993
1186, 29244, 1987
1187, 29252, 1986
1188, 29259, 1990
1189, 29264, 1990
1190, 29274, 1990
1191, 29283, 1988
1192, 29297, 1978
1193, 29299, 1977
1194, 29303, 1978
1195, 29308, 1974
1196, 29317, 1970
1197, 29322, 1972
1198, 29328, 1969
1199, 29336, 1966
1200, 29349, 1960
1201, 29354, 1959
1202, 29366, 1953
1203, 29378, 1944
1204, 29383, 1946
1205, 29389, 1946
1206, 29392, 1946
1207, 29400, 1942
1208, 29403, 1943
1209, 29410, 1942
1210, 29418, 1938
1211, 29427, 1936
1212, 29433, 1937
1213, 29441, 1934
1214, 29446, 1937
1215, 29450, 1938
1216, 29454, 1936
1217, 29458, 1940
1218, 29462, 1939
1219, 29471, 1932
1220, 29476, 1932
1221, 29481, 1940
1222, 29487, 1938
1223, 29490, 1942
1224, 29493, 1943
1225, 29501, 1942
1226, 29504, 1944
1227, 29512, 1938
1228, 29516, 1938
1229, 29521, 1941
