minutes,both,firstonly
0,     0,    0
1,     0,    0
2,     0,    0
3,     0,    0
4,     0,    2
5,     4,    6
6,     8,   22
7,    20,   36
8,    37,   54
9,    61,   69
10,   100,   84
11,   147,  113
12,   204,  143
13,   258,  193
14,   333,  213
15,   415,  241
16,   496,  273
17,   591,  293
18,   686,  307
19,   788,  328
20,   894,  354
21,  1007,  357
22,  1119,  373
23,  1225,  408
24,  1354,  408
25,  1455,  441
26,  1567,  462
27,  1689,  464
28,  1805,  461
29,  1927,  471
30,  2044,  467
31,  2150,  487
32,  2254,  529
33,  2377,  517
34,  2498,  496
35,  2589,  530
36,  2717,  518
37,  2810,  534
38,  2921,  539
39,  3034,  523
40,  3153,  502
41,  3264,  503
42,  3381,  481
43,  3471,  505
44,  3576,  486
45,  3675,  465
46,  3764,  480
47,  3848,  487
48,  3940,  501
49,  4042,  474
50,  4140,  484
51,  4223,  485
52,  4312,  480
53,  4402,  498
54,  4488,  492
55,  4577,  478
56,  4652,  488
57,  4737,  495
58,  4814,  507
59,  4898,  507
60,  4970,  512
61,  5063,  493
62,  5151,  476
63,  5242,  453
64,  5319,  458
65,  5393,  449
66,  5480,  433
67,  5542,  434
68,  5618,  411
69,  5685,  399
